time,ax,ay,az,aT
0.0030,0.1851,-0.0942,-0.4409,0.487
0.0140,0.1566,-0.1647,-0.4060,0.465
0.0160,0.0925,-0.1773,-0.4282,0.473
0.0270,0.0681,-0.1349,-0.4111,0.438
0.0360,0.0273,-0.0963,-0.4308,0.442
0.0500,0.0440,-0.0598,-0.4497,0.456
0.0570,0.0231,-0.0794,-0.3350,0.345
0.0650,0.0406,-0.1348,-0.3358,0.364
0.0760,0.0023,-0.1892,-0.5092,0.543
0.0850,-0.0347,-0.2233,-0.5103,0.558
0.0950,-0.0139,-0.1816,-0.3961,0.436
0.1100,0.0446,-0.1028,-0.3392,0.357
0.1150,0.0454,-0.1204,-0.4353,0.454
0.1250,0.0274,-0.1383,-0.3014,0.333
0.1350,-0.0286,-0.1002,-0.3203,0.337
0.1510,-0.0277,-0.1571,-0.2054,0.260
0.1600,0.0873,-0.0772,-0.2064,0.237
0.1640,0.1073,-0.1086,-0.2850,0.323
0.1750,0.0712,-0.1420,-0.3244,0.361
0.1840,0.1121,-0.1580,-0.4016,0.446
0.1940,0.1337,-0.1205,-0.4584,0.492
0.2050,0.1355,-0.0474,-0.4762,0.497
0.2140,0.0418,-0.1085,-0.5322,0.545
0.2240,0.0627,-0.0550,-0.4925,0.499
0.2340,0.1016,-0.1149,-0.4916,0.515
0.2490,0.1206,-0.1749,-0.6250,0.660
0.2560,0.1575,-0.1959,-0.5863,0.638
0.2640,0.1363,-0.2155,-0.6056,0.657
0.2740,0.0771,-0.1765,-0.6061,0.636
0.2830,0.1314,-0.1931,-0.5499,0.597
0.2940,0.1862,-0.2094,-0.3597,0.456
0.3080,0.0880,-0.1704,-0.3411,0.391
0.3130,0.0487,-0.1909,-0.3983,0.444
0.3230,0.1057,-0.2480,-0.4177,0.497
0.3340,0.1060,-0.3603,-0.4376,0.577
0.3490,0.1076,-0.3190,-0.4957,0.599
0.3630,0.0906,-0.2401,-0.5918,0.645
0.3640,0.0161,-0.2183,-0.6306,0.668
0.3750,0.1312,-0.2345,-0.4974,0.565
0.3840,0.0922,-0.2876,-0.4222,0.519
0.3930,0.0915,-0.2831,-0.4811,0.566
0.4040,0.1103,-0.2415,-0.5588,0.619
0.4130,0.0911,-0.1631,-0.4828,0.518
0.4230,0.1274,-0.1793,-0.4073,0.463
0.4520,0.1635,-0.1392,-0.3125,0.379
0.4530,0.1410,-0.0966,-0.2951,0.341
0.4540,0.1002,-0.1298,-0.3354,0.373
0.4620,0.0801,-0.1622,-0.4139,0.452
0.4720,0.0438,-0.1393,-0.5105,0.531
0.4820,0.1418,-0.1182,-0.5682,0.597
0.4920,0.0854,-0.1170,-0.6258,0.642
0.5020,-0.0099,-0.1146,-0.6648,0.675
0.5110,0.0089,-0.1693,-0.6465,0.668
0.5220,0.0989,-0.0514,-0.6100,0.620
0.5410,0.0205,0.0058,-0.5336,0.534
0.5420,0.0543,0.0464,-0.3817,0.388
0.5520,0.0308,0.0303,-0.3258,0.329
0.5620,0.0270,-0.0225,-0.4044,0.406
0.5710,0.0064,-0.0746,-0.4254,0.432
0.5850,0.0257,-0.0124,-0.4842,0.485
0.5910,0.0267,-0.0280,-0.4851,0.487
0.6010,0.0092,0.0511,-0.4665,0.469
0.6100,-0.0275,0.0342,-0.3902,0.393
0.6230,0.0115,-0.0383,-0.4105,0.412
0.6490,-0.0080,-0.1276,-0.3358,0.359
0.6500,0.0289,-0.1765,-0.2619,0.317
0.6520,0.0456,-0.2428,-0.2462,0.349
0.6600,0.0613,-0.3086,-0.2307,0.390
0.6700,0.0577,-0.2244,-0.2143,0.316
0.6810,0.0534,-0.2964,-0.2737,0.407
0.6900,0.1091,-0.1996,-0.2935,0.371
0.7000,0.0892,-0.1993,-0.4661,0.515
0.7240,0.1638,-0.2124,-0.6022,0.659
0.7250,0.1829,-0.2699,-0.6213,0.702
0.7310,0.1247,-0.2673,-0.6413,0.706
0.7520,0.1354,-0.3777,-0.5481,0.679
0.7530,0.1162,-0.2437,-0.4715,0.543
0.7590,0.0390,-0.0768,-0.6041,0.610
0.7810,0.0398,0.1026,-0.7537,0.762
0.7820,0.0609,0.0358,-0.5975,0.602
0.7890,0.0407,-0.2305,-0.5790,0.625
0.7990,0.0367,-0.3528,-0.6405,0.732
0.8080,-0.0251,-0.3576,-0.5495,0.656
0.8220,0.0087,-0.3448,-0.5347,0.636
0.8320,0.0054,-0.2779,-0.5187,0.588
0.8380,-0.0162,-0.1398,-0.5777,0.595
0.8500,-0.0569,-0.0613,-0.4828,0.490
0.8650,-0.0437,-0.0736,-0.4664,0.474
0.8680,-0.0058,-0.1487,-0.4669,0.490
0.8810,0.0287,-0.1985,-0.3547,0.408
0.8890,-0.0139,-0.1307,-0.5115,0.528
0.9160,0.0421,-0.0130,-0.5316,0.533
0.9180,0.0010,-0.1594,-0.5531,0.576
0.9220,0.0160,-0.1329,-0.4791,0.497
0.9300,0.0462,-0.0466,-0.3872,0.393
0.9370,0.0237,-0.0625,-0.3503,0.357
0.9470,-0.0018,-0.0561,-0.2764,0.282
0.9570,0.0106,-0.1061,-0.2411,0.264
0.9710,0.0410,-0.1524,-0.2836,0.325
0.9820,0.0206,-0.0915,-0.2655,0.282
0.9870,0.0379,-0.0463,-0.2677,0.274
0.9970,0.0945,-0.0762,-0.3275,0.349
1.0060,0.0752,-0.1064,-0.3681,0.390
1.0160,0.0945,-0.1547,-0.4088,0.447
1.0280,0.0568,-0.2419,-0.4110,0.480
1.0370,0.1334,-0.2338,-0.4899,0.559
1.0460,0.1327,-0.2080,-0.5300,0.585
1.0570,0.1883,-0.1459,-0.5124,0.565
1.0660,0.1107,-0.2194,-0.5325,0.586
1.0920,0.1463,-0.2711,-0.4769,0.568
