time,ax,ay,az,aT
0.0040,-0.0205,-0.0858,0.3534,0.364
0.0140,-0.0362,-0.0719,0.2663,0.278
0.0270,-0.0411,-0.0097,0.1775,0.182
0.0340,-0.0669,0.0436,0.0130,0.081
0.0440,-0.1046,0.0854,-0.2081,0.248
0.0540,-0.0632,0.1377,-0.3763,0.406
0.0640,-0.0607,0.1054,-0.2603,0.287
0.0740,-0.0889,0.1080,-0.1762,0.225
0.0830,0.0383,0.0228,-0.0138,0.047
0.0940,0.0465,-0.0876,0.0072,0.099
0.1030,0.2451,-0.2129,0.0139,0.325
0.1130,0.2538,-0.2543,0.0233,0.360
0.1230,0.1963,-0.1964,-0.0505,0.282
0.1330,0.1374,-0.1415,-0.1357,0.239
0.1430,0.1295,-0.0800,-0.1872,0.241
0.1530,0.0412,-0.0435,-0.1265,0.140
0.1620,0.0090,-0.0761,-0.0782,0.109
0.1720,-0.0207,-0.0891,-0.0614,0.110
0.1820,0.0755,-0.0375,-0.0713,0.110
0.1950,0.0553,-0.1160,-0.0813,0.152
0.2010,0.0883,-0.1064,-0.0267,0.141
0.2120,0.1047,-0.1069,0.0138,0.150
0.2220,0.0647,-0.1468,-0.0099,0.161
0.2310,0.1043,-0.1216,-0.1025,0.190
0.2410,-0.0090,-0.0605,0.0272,0.067
0.2510,-0.1044,0.0011,0.0625,0.122
0.2610,-0.1347,0.0273,-0.0065,0.138
0.2710,-0.1348,0.0863,-0.0677,0.174
0.2810,-0.1220,0.1217,-0.1235,0.212
0.2910,-0.0363,0.0250,-0.0729,0.085
0.3000,0.0551,-0.1050,-0.0560,0.131
0.3190,0.0857,-0.1114,0.0030,0.141
0.3200,0.0765,-0.0733,0.0120,0.107
0.3330,-0.0239,0.0344,0.0141,0.044
0.3400,-0.0112,0.0044,-0.0306,0.033
0.3500,0.0419,-0.0227,-0.0676,0.083
0.3600,-0.0159,0.0184,-0.0665,0.071
0.3690,-0.0000,0.1033,-0.0257,0.106
0.3790,-0.0707,0.0755,-0.0164,0.105
0.3890,-0.0181,0.0461,-0.0544,0.074
0.3990,0.0536,0.0170,-0.0658,0.087
0.4090,0.0347,-0.0338,0.0150,0.051
0.4190,0.0036,-0.0077,0.0687,0.069
0.4290,-0.0118,0.0539,0.1571,0.166
0.4380,-0.0727,0.0691,0.0298,0.105
0.4480,-0.0356,0.1044,-0.0250,0.113
0.4580,-0.0119,0.0920,0.1093,0.143
0.4680,-0.0178,0.0377,0.1306,0.137
0.4790,-0.0054,-0.0280,0.0597,0.066
0.4870,0.0402,0.0288,0.0608,0.078
0.4980,0.0195,0.0607,0.0361,0.073
0.5070,0.0446,0.0710,0.1106,0.139
0.5170,0.0346,-0.0111,0.1534,0.158
0.5270,0.0177,-0.0366,-0.0234,0.047
0.5360,-0.0027,-0.0218,-0.0371,0.043
0.5460,0.0291,0.0313,0.0059,0.043
0.5560,-0.0469,-0.0721,0.0340,0.093
0.5660,-0.0232,-0.1037,0.0452,0.115
0.5790,0.0272,-0.0542,0.0280,0.067
0.5850,-0.0018,-0.1160,0.0557,0.129
0.5970,0.0560,-0.1441,0.0218,0.156
0.6050,0.0465,-0.0754,-0.1222,0.151
0.6160,0.1269,-0.0444,-0.2498,0.284
0.6250,0.0728,-0.0577,-0.2695,0.285
0.6350,0.1644,-0.0745,-0.0652,0.192
0.6450,0.1286,-0.0913,-0.0314,0.161
0.6550,0.1011,-0.0337,-0.0663,0.126
0.6640,0.1261,-0.0676,-0.1029,0.176
0.6740,0.1530,-0.0652,-0.0377,0.171
0.6840,0.0990,-0.0859,0.0170,0.132
0.6960,0.1062,-0.0329,-0.0023,0.111
0.7030,0.0772,0.0052,0.0046,0.078
0.7170,0.0903,0.0269,0.0278,0.098
0.7230,0.1288,-0.0310,0.0788,0.154
0.7340,0.1124,-0.0521,0.1618,0.204
0.7440,0.1007,-0.0358,0.2788,0.299
0.7530,0.0470,-0.0214,0.3352,0.339
0.7630,-0.0602,0.0611,0.3320,0.343
0.7730,-0.0759,0.1233,0.2020,0.249
0.7830,-0.0464,0.1102,0.0532,0.131
0.7920,-0.0798,0.0140,-0.0392,0.090
0.8030,-0.0912,0.0211,-0.0057,0.094
0.8140,-0.1019,0.0138,0.0247,0.106
0.8220,-0.0530,-0.0184,0.0733,0.092
0.8310,-0.0129,-0.0270,0.0811,0.086
0.8410,-0.0202,-0.1591,-0.0312,0.163
0.8520,-0.0653,-0.0125,-0.1297,0.146
0.8610,-0.1308,0.0767,-0.1227,0.195
0.8710,-0.1677,0.0834,-0.0452,0.193
0.8810,-0.1329,0.0475,-0.1078,0.178
0.8900,-0.0171,-0.0222,-0.1671,0.169
0.9010,-0.0695,-0.0505,-0.0328,0.092
0.9110,-0.1199,-0.0161,0.0663,0.138
0.9430,-0.0397,0.0048,-0.0151,0.043
0.9440,0.0170,-0.0426,-0.1325,0.140
0.9450,-0.0169,-0.0595,-0.2125,0.221
0.9500,0.0030,0.0065,-0.1712,0.171
0.9600,-0.0495,-0.0479,-0.0764,0.103
0.9700,-0.1014,-0.0466,-0.0657,0.130
0.9840,0.0652,-0.1645,-0.0930,0.200
0.9890,0.1255,-0.1841,-0.0797,0.237
1.0340,0.1055,-0.1687,-0.1537,0.251
1.0340,0.0146,-0.0767,-0.2475,0.260
1.0350,-0.0276,-0.1537,-0.4057,0.435
1.0350,0.0017,-0.0839,-0.4178,0.426
1.0390,-0.0302,-0.0558,-0.4840,0.488
1.0500,-0.0532,-0.1136,-0.4221,0.440
1.0590,-0.0132,-0.1474,-0.3786,0.406
1.0700,-0.0084,-0.1275,-0.1774,0.219
1.0850,-0.0779,-0.1619,0.2978,0.348
1.0880,-0.0541,-0.1691,0.5905,0.617
1.1340,-0.1234,-0.1571,0.7681,0.794
1.1350,-0.0847,-0.1278,0.7327,0.749
1.1360,-0.1367,-0.0104,0.5515,0.568
1.1370,-0.1921,0.1701,0.4280,0.499
1.1370,-0.2837,0.2754,0.3546,0.531
1.1470,-0.1986,0.3076,0.3338,0.495
1.1570,-0.0835,0.2457,0.2844,0.385
1.1680,0.0489,0.1659,0.1206,0.211
1.1770,0.1309,0.0821,0.0364,0.159
1.1870,0.1943,0.0144,-0.0499,0.201
1.2020,0.1309,-0.1010,0.1555,0.227
1.2060,0.0434,-0.0555,0.3487,0.356
1.2500,0.0281,-0.0788,0.2908,0.303
1.2510,0.0288,-0.1341,0.2260,0.264
1.2510,0.1250,-0.2191,0.2184,0.334
1.2520,0.1058,-0.2083,0.2154,0.318
1.2560,0.1578,-0.2061,0.1453,0.297
1.2680,0.1404,-0.1543,0.0658,0.219
1.2760,0.1408,-0.1090,-0.0084,0.178
1.2850,0.1150,-0.1040,-0.1109,0.191
1.2950,0.1037,-0.0622,-0.2368,0.266
1.3050,0.0968,-0.0667,-0.3837,0.401
1.3550,-0.0306,-0.0392,-0.3417,0.345
1.3560,-0.0473,-0.0082,-0.2975,0.301
1.3560,-0.0582,0.0572,-0.1651,0.184
1.3570,0.0270,-0.0205,-0.1070,0.112
1.3570,0.0886,-0.1163,0.0129,0.147
1.3660,0.0037,-0.1872,0.2232,0.291
1.3740,0.0108,-0.1555,0.2992,0.337
1.3850,-0.1052,-0.2255,0.3368,0.419
1.3940,-0.1890,-0.1416,0.1906,0.304
1.4040,-0.1273,-0.0487,0.0281,0.139
1.4540,-0.1684,-0.0001,-0.0195,0.170
1.4550,-0.1072,-0.0835,0.0928,0.165
1.4550,-0.1673,-0.0616,0.2881,0.339
1.4560,-0.1297,-0.0730,0.2655,0.304
1.4560,-0.1577,-0.0942,0.1402,0.231
1.4630,-0.1098,-0.0738,0.1010,0.166
1.4720,-0.1184,-0.0382,-0.1269,0.178
1.4860,-0.1646,0.1009,-0.1083,0.221
1.4920,-0.2274,0.1955,-0.0394,0.302
1.5360,-0.1966,0.2252,-0.1590,0.339
1.5370,-0.1134,0.1749,-0.2256,0.307
1.5370,-0.0530,0.0176,-0.1607,0.170
1.5380,0.0293,-0.0818,-0.0554,0.103
1.5410,0.0049,-0.0456,-0.0887,0.100
1.5520,-0.0759,0.0204,-0.0693,0.105
1.5610,-0.1558,0.1237,-0.0546,0.206
1.5710,-0.1249,0.0594,-0.1402,0.197
1.5860,-0.0124,-0.0401,-0.1086,0.116
1.5900,0.1000,-0.1811,-0.0580,0.215
1.6390,0.0826,-0.1964,0.1188,0.244
1.6390,0.0947,-0.1966,0.1494,0.264
1.6400,0.1253,-0.1670,0.1943,0.285
1.6400,0.0833,-0.1370,-0.0353,0.164
1.6410,0.1924,-0.1454,-0.1521,0.285
1.6500,0.1832,-0.1812,-0.1326,0.290
1.6600,0.1387,-0.1944,-0.0367,0.242
1.6700,0.1347,-0.1693,-0.0128,0.217
1.6810,0.1303,-0.1186,-0.0916,0.199
1.6890,0.0399,-0.1202,-0.1964,0.234
1.7030,0.1351,-0.0443,-0.1125,0.181
1.7090,-0.0466,-0.0776,0.0620,0.110
1.7550,-0.0347,-0.0588,0.0975,0.119
1.7550,-0.0736,-0.0633,0.1594,0.187
1.7560,-0.1351,-0.0352,0.1263,0.188
1.7560,-0.1064,-0.0065,0.1127,0.155
1.7570,-0.1522,-0.0052,0.0005,0.152
1.7680,-0.1422,0.0196,-0.1099,0.181
1.7770,-0.1460,0.0643,-0.2516,0.298
1.7880,-0.1342,0.0856,-0.2654,0.309
1.8030,-0.1565,0.1307,-0.2341,0.310
1.8070,-0.0544,0.0100,-0.0550,0.078
1.8700,-0.0048,-0.1590,0.3531,0.387
1.8710,0.0755,-0.0994,-0.0610,0.139
1.8710,0.0814,-0.0937,-0.0369,0.130
1.8720,-0.0305,-0.1347,-0.1393,0.196
1.8730,0.0170,-0.0846,-0.1458,0.169
1.8730,-0.0570,-0.0880,-0.1119,0.153
1.8760,0.0454,-0.0900,-0.0376,0.108
1.8890,-0.0016,-0.1390,0.0382,0.144
1.8960,0.0311,-0.1303,0.0820,0.157
1.9090,0.0345,-0.1508,0.1723,0.232
1.9760,0.1124,-0.1606,0.0305,0.198
1.9770,0.1040,-0.0837,-0.1630,0.211
1.9770,0.0768,0.0064,-0.2868,0.297
1.9780,0.0655,0.1077,-0.3746,0.395
1.9780,0.0610,0.1011,-0.2784,0.302
1.9790,0.0532,0.1061,-0.1898,0.224
1.9800,0.0730,0.0763,-0.1039,0.148
1.9880,0.0159,-0.0007,0.2278,0.228
1.9960,-0.0444,-0.0145,0.5206,0.523
2.0030,-0.1135,-0.0724,0.6364,0.650
2.0210,-0.1650,0.0034,0.6326,0.654
2.0240,-0.1271,-0.0411,0.4450,0.465
2.0830,-0.0729,-0.0354,0.2096,0.225
2.0840,-0.0789,0.0096,0.0771,0.111
2.0840,-0.0442,0.0663,-0.0458,0.092
2.0850,-0.0375,0.1063,-0.1277,0.170
2.0850,-0.0425,0.1063,-0.1161,0.163
2.0860,-0.0004,0.1251,-0.0468,0.134
2.0930,-0.0019,0.1216,-0.0418,0.129
2.1130,-0.0738,0.1152,0.1593,0.210
2.1130,0.0326,0.0444,0.1262,0.138
2.1310,-0.0285,0.0511,0.1649,0.175
2.1320,-0.0816,0.1593,0.0720,0.193
2.1860,-0.1660,0.1368,0.0435,0.220
2.1860,-0.1187,0.1272,0.1628,0.238
2.1870,-0.0613,0.0717,0.2959,0.311
2.1880,0.0332,-0.0887,0.3259,0.339
2.1880,0.1191,-0.1383,0.3966,0.437
