time,ax,ay,az,aT
0.0040,-0.1835,0.1200,-0.8708,0.898
0.0040,0.0238,0.3636,0.3255,0.489
0.0040,0.5341,0.2933,1.3628,1.493
0.0490,0.6649,-0.1552,2.0502,2.161
0.0490,0.7002,-0.4034,1.4760,1.683
0.0500,0.3525,-0.2863,0.5206,0.691
0.0500,0.1549,-0.2159,-0.4152,0.493
0.0500,-0.0473,-0.2222,-0.7823,0.815
0.0660,-0.1989,-0.3334,-0.6218,0.733
0.0690,-0.2508,-0.2022,-0.4843,0.582
0.0830,-0.1833,-0.0946,-0.3194,0.380
0.0880,-0.0578,0.0438,-0.0162,0.074
0.1100,0.0844,0.0798,0.2472,0.273
0.1100,0.1068,0.0612,0.4719,0.488
0.1220,0.2278,-0.0047,0.5060,0.555
0.1280,0.1037,-0.0677,0.4604,0.477
0.1380,0.1594,-0.0983,0.3807,0.424
0.1480,0.0403,-0.2071,0.2187,0.304
0.1710,0.0004,-0.1932,0.0547,0.201
0.1720,-0.0243,-0.1592,-0.0109,0.161
0.1780,-0.0308,-0.1140,0.0856,0.146
0.1870,0.0841,-0.1105,0.0619,0.152
0.1970,0.2058,-0.0109,-0.0694,0.217
0.2070,0.2720,-0.0284,0.0911,0.288
0.2170,0.2711,-0.0389,0.1131,0.296
0.2270,0.2389,-0.0872,0.0022,0.254
0.2370,0.1015,-0.1001,-0.1915,0.239
0.2470,0.0967,-0.1931,-0.3611,0.421
0.2560,-0.0561,-0.1494,-0.4644,0.491
0.2660,-0.1128,-0.0882,-0.3108,0.342
0.2890,-0.1309,-0.1205,-0.1299,0.220
0.2890,-0.0930,-0.1141,-0.1603,0.218
0.2960,-0.0413,-0.0954,-0.0596,0.120
0.3060,-0.0582,-0.1539,0.0290,0.167
0.3160,-0.0184,-0.1465,0.2085,0.256
0.3260,-0.0058,-0.1671,0.2066,0.266
0.3360,-0.0618,-0.1536,0.0549,0.174
0.3460,-0.1043,-0.1568,-0.0293,0.191
0.3550,-0.0799,-0.2207,0.0414,0.238
0.3650,-0.1521,-0.1932,0.2119,0.325
0.3750,-0.1980,-0.1026,0.1937,0.295
0.3890,-0.1539,-0.1119,0.2092,0.283
0.3950,-0.1194,-0.0969,0.2011,0.253
0.4040,-0.0736,-0.0832,0.0547,0.124
0.4140,0.1018,-0.1491,0.0955,0.204
0.4240,0.1215,-0.1357,0.2198,0.285
0.4340,0.1234,-0.1383,0.1481,0.237
0.4440,0.1283,-0.1230,0.1435,0.228
0.4540,0.1388,-0.1968,0.1746,0.297
0.4630,0.1628,-0.1373,0.1767,0.277
0.4740,0.1426,-0.0821,0.1621,0.231
0.4900,0.1178,-0.1371,0.2171,0.282
0.4930,0.1637,-0.1385,0.1818,0.281
0.5020,0.0696,-0.0628,-0.0723,0.118
0.5140,0.0287,-0.0882,-0.1799,0.202
0.5230,0.0009,-0.0845,-0.2659,0.279
0.5330,-0.0224,-0.0989,-0.3022,0.319
0.5430,-0.0540,-0.0783,-0.2199,0.240
0.5530,0.0410,-0.0435,-0.0854,0.104
0.5730,0.0529,-0.1287,-0.1065,0.175
0.5730,0.0347,-0.1566,-0.1179,0.199
0.5810,0.0155,-0.1722,-0.0102,0.173
0.5920,0.0804,-0.1248,0.0565,0.159
0.6010,0.0612,-0.1944,0.0705,0.216
0.6120,0.0232,-0.1720,0.1297,0.217
0.6210,0.0314,-0.2115,0.1627,0.269
0.6310,-0.0572,-0.2093,0.1269,0.251
0.6410,-0.1468,-0.2445,0.1248,0.311
0.6510,-0.2248,-0.1972,0.1324,0.327
0.6670,-0.2204,-0.1562,0.1350,0.302
0.6700,-0.1967,-0.1765,-0.0074,0.264
0.6800,-0.1455,-0.1233,-0.1110,0.221
0.6900,-0.0356,-0.1678,-0.1809,0.249
0.7000,-0.0072,-0.1012,-0.1459,0.178
0.7100,-0.0136,-0.1062,-0.1311,0.169
0.7200,0.0139,-0.0893,-0.1241,0.153
0.7300,0.0141,-0.0981,-0.1339,0.167
0.7400,0.0083,-0.0873,-0.0402,0.096
0.7500,0.0207,-0.1264,-0.0025,0.128
0.7590,0.0554,-0.0872,-0.0575,0.118
0.7690,0.0850,-0.0228,-0.0435,0.098
0.7900,0.1272,-0.0790,0.0123,0.150
0.7900,0.1811,-0.0754,0.0155,0.197
0.7990,0.1019,-0.0530,-0.0377,0.121
0.8080,0.0458,-0.0395,0.0041,0.061
0.8180,0.0070,-0.0212,0.0759,0.079
0.8270,-0.0162,-0.0229,0.1022,0.106
0.8380,0.0478,0.0124,0.0340,0.060
0.8480,0.0651,-0.0236,0.0918,0.115
0.8580,0.0358,0.0156,0.1770,0.181
0.8680,0.0680,0.0461,0.1902,0.207
0.8810,0.0930,0.0069,0.1045,0.140
0.8870,0.0746,-0.0344,0.1004,0.130
0.9000,0.0826,-0.0682,0.1200,0.161
0.9070,0.0455,-0.0379,0.0710,0.092
0.9170,0.1254,-0.0668,0.1429,0.201
0.9260,0.1211,-0.0765,0.1079,0.179
0.9360,0.1258,-0.0295,0.0359,0.134
0.9460,0.0397,-0.0443,-0.0065,0.060
0.9560,-0.0184,-0.0886,0.0503,0.104
0.9660,-0.0346,-0.0566,0.0942,0.115
0.9760,0.0254,-0.0050,0.1235,0.126
0.9880,0.0843,-0.0689,0.0682,0.128
1.0410,0.1154,-0.0681,-0.0333,0.138
1.0420,0.1119,-0.1114,-0.0648,0.171
1.0420,-0.0094,-0.0894,0.0097,0.090
1.0430,-0.1187,-0.0840,0.0615,0.158
1.0430,-0.0938,-0.1098,0.0254,0.147
1.0540,-0.1319,-0.1362,-0.0122,0.190
1.0570,-0.0075,-0.1065,-0.0348,0.112
1.0650,0.0164,-0.0706,-0.0686,0.100
1.0750,0.0841,-0.0917,-0.0711,0.143
1.0880,0.0841,-0.0842,-0.1370,0.182
1.0940,0.0971,-0.0595,-0.2091,0.238
1.1350,0.0324,-0.0974,-0.1486,0.181
1.1360,0.0195,-0.0724,-0.0637,0.098
1.1370,0.0412,-0.0966,-0.0018,0.105
1.1370,0.0763,-0.0683,0.0732,0.126
1.1440,0.0643,-0.0901,0.0904,0.143
1.1540,0.0081,-0.1024,0.1146,0.154
1.1730,0.0139,-0.0982,0.1055,0.145
1.1740,0.0174,-0.0681,0.0259,0.075
1.2230,0.0558,-0.0737,0.0584,0.109
1.2230,0.0611,-0.0883,0.1020,0.148
1.2240,-0.0093,-0.0531,0.0178,0.057
1.2240,0.0542,-0.0770,0.0055,0.094
1.2250,-0.0234,-0.0534,0.0217,0.062
1.2340,-0.0592,-0.0864,0.0729,0.128
1.2430,-0.0241,-0.0508,-0.0038,0.056
1.2530,0.0388,-0.0260,-0.0860,0.098
1.2640,0.0805,-0.0277,-0.1384,0.162
1.2720,0.0839,-0.0140,-0.1244,0.151
1.2880,0.0105,-0.0199,-0.1021,0.105
1.2910,0.0191,-0.0200,0.0136,0.031
1.3350,-0.0539,-0.0156,0.0284,0.063
1.3350,-0.0238,-0.0825,0.1183,0.146
1.3360,-0.0673,-0.0834,0.1269,0.166
1.3360,0.0836,-0.0196,0.2016,0.219
1.3410,0.0489,-0.0426,0.1271,0.143
1.3510,-0.0417,-0.0639,0.1062,0.131
1.3610,-0.0040,-0.0737,0.0719,0.103
1.3710,-0.0342,-0.0003,-0.0561,0.066
1.3890,0.0792,-0.0051,0.0204,0.082
1.3900,0.0229,-0.0398,0.0084,0.047
1.4350,0.0098,-0.0617,0.0530,0.082
1.4350,0.0517,-0.0031,0.0543,0.075
1.4360,-0.0098,0.0088,0.0227,0.026
1.4360,0.0039,-0.0789,0.0508,0.094
