time,ax,ay,az,aT
0.0040,0.0250,-0.3221,-0.3933,0.509
0.0050,0.2771,-0.6579,-0.2467,0.755
0.0260,0.1178,-0.8333,-0.3970,0.931
0.0270,-0.2179,-0.7183,-0.5352,0.922
0.0340,-0.5714,-0.5213,-0.5290,0.937
0.0440,-0.5235,-0.5108,-0.5499,0.915
0.0540,-0.3810,-0.6683,-0.5359,0.938
0.0640,-0.5326,-0.5346,-0.3726,0.842
0.0800,-0.5292,-0.3362,-0.1763,0.651
0.1090,-0.3353,-0.1937,-0.1537,0.417
0.1100,-0.3196,-0.2372,-0.2675,0.480
0.1110,-0.3716,-0.2757,-0.5182,0.695
0.1200,-0.2807,-0.1379,-0.6943,0.761
0.1230,-0.2806,-0.0719,-0.7394,0.794
0.1330,-0.2773,-0.1006,-0.7084,0.767
0.1430,-0.2725,-0.1484,-0.9070,0.959
0.1530,-0.3395,-0.1252,-0.9856,1.050
0.1780,-0.4405,-0.0896,-1.2305,1.310
0.1800,-0.6330,0.0947,-1.4903,1.622
0.1840,-0.7831,0.1847,-1.5592,1.755
0.1920,-0.7090,0.2989,-1.3646,1.567
0.2210,-0.4541,0.2487,-1.0823,1.200
0.2220,-0.2485,0.1847,-0.6334,0.705
0.2230,-0.1267,0.1834,-0.1706,0.281
0.2340,-0.1739,0.2583,-0.0324,0.313
0.2430,-0.2175,0.3157,-0.2781,0.474
0.2530,-0.2686,0.1419,-0.7700,0.828
0.2820,-0.3906,-0.0207,-1.3434,1.399
0.2830,-0.5274,-0.0560,-1.6306,1.715
0.2840,-0.5215,-0.1187,-1.6760,1.759
0.3090,-0.3954,-0.2757,-1.5904,1.662
0.3140,-0.3088,-0.3483,-1.2074,1.294
0.3150,-0.3708,-0.4375,-0.6751,0.886
0.3210,-0.2518,-0.4265,-0.1666,0.523
0.3370,-0.1559,-0.4749,0.1516,0.522
0.3440,-0.0960,-0.4705,0.1317,0.498
0.3510,-0.0333,-0.6084,-0.0920,0.616
0.3670,-0.0529,-0.5647,-0.6296,0.847
0.3710,-0.1986,-0.3743,-0.8740,0.971
0.3850,-0.2116,-0.1529,-0.9983,1.032
0.3910,-0.2479,0.0233,-1.0989,1.127
0.4250,-0.3503,0.0850,-0.8369,0.911
0.4260,-0.3042,0.1297,-0.5194,0.616
0.4270,-0.3186,0.1583,-0.3191,0.478
0.4540,-0.2520,0.1325,-0.3503,0.451
0.4550,-0.3123,0.1328,-0.4048,0.528
0.4560,-0.2823,0.1350,-0.3442,0.465
0.4660,-0.3004,0.1974,-0.2844,0.458
0.4700,-0.3498,0.1613,-0.3752,0.538
0.4820,-0.3561,0.1262,-0.5236,0.646
0.4890,-0.3437,0.0672,-0.5537,0.655
0.5120,-0.2572,-0.0516,-0.5058,0.570
0.5130,-0.3256,-0.0780,-0.4174,0.535
0.5200,-0.4167,0.1195,-0.4402,0.618
0.5370,-0.4354,0.3692,-0.5172,0.770
0.5420,-0.3605,0.5020,-0.5932,0.857
0.5490,-0.3028,0.6540,-0.6114,0.945
0.5610,-0.3586,0.5984,-0.4593,0.835
0.5690,-0.2787,0.5069,-0.5193,0.777
0.5790,-0.2187,0.3439,-0.4680,0.621
0.5910,-0.1595,0.2385,-0.5126,0.587
0.6280,-0.2154,0.1722,-0.5387,0.605
0.6290,-0.1782,0.1423,-0.4104,0.470
0.6300,-0.1847,0.2638,-0.2623,0.415
0.6400,-0.2140,0.3240,-0.2078,0.440
0.6410,-0.1529,0.3429,-0.1901,0.421
0.6590,-0.0922,0.3018,-0.1898,0.368
0.6610,-0.0150,0.3707,-0.2055,0.424
0.6680,-0.0327,0.4744,-0.0847,0.483
0.6780,0.0246,0.4232,-0.0777,0.431
0.6880,0.1017,0.4306,0.0052,0.443
0.7160,0.0627,0.3058,0.2209,0.382
0.7190,0.1599,0.1451,0.3394,0.402
0.7200,0.2365,0.0654,0.5506,0.603
0.7270,0.2365,-0.0637,0.6222,0.669
0.7370,0.1582,-0.0128,0.8609,0.875
0.7470,0.2155,0.0420,1.0780,1.100
0.7570,0.3297,-0.0151,0.9674,1.022
0.7670,0.3162,-0.1684,0.8003,0.877
0.7760,0.3280,-0.3584,0.5943,0.768
0.7860,0.3608,-0.4353,0.5047,0.758
0.8010,0.3574,-0.5879,0.3572,0.775
0.8250,0.3922,-0.6463,0.0959,0.762
0.8260,0.3309,-0.7211,0.0818,0.798
0.8270,0.3829,-0.8730,0.0680,0.956
0.8380,0.5447,-1.0371,0.0495,1.172
0.8460,0.6721,-1.2162,-0.0164,1.390
0.8560,0.7787,-1.3885,-0.1060,1.595
0.8660,0.9057,-1.4289,-0.1749,1.701
0.8760,0.9945,-1.4879,-0.1483,1.796
0.8980,0.8943,-1.4924,-0.2536,1.758
0.9000,0.8351,-1.4034,-0.3573,1.672
0.9230,0.6994,-1.2600,-0.4016,1.496
0.9250,0.7333,-1.1574,-0.4637,1.446
0.9260,0.6491,-1.1341,-0.3518,1.353
0.9390,0.6514,-1.1520,-0.2195,1.341
0.9450,0.7366,-1.1465,-0.0320,1.363
0.9550,0.7362,-1.1572,0.0765,1.374
0.9650,0.7737,-1.1476,0.2035,1.399
0.9750,0.9250,-1.1744,0.3485,1.535
0.9980,0.9232,-1.1801,0.5115,1.583
0.9990,0.8439,-1.1456,0.5010,1.508
1.0240,0.6729,-1.1125,0.2619,1.326
1.0250,0.4682,-0.9886,-0.0890,1.097
1.0260,0.4027,-0.9105,-0.4158,1.079
1.0370,0.4330,-0.9337,-0.6243,1.204
1.0440,0.4032,-0.8252,-0.7166,1.165
1.0540,0.4267,-0.6616,-0.6925,1.048
1.0630,0.3503,-0.5357,-0.6306,0.899
1.0730,0.3279,-0.4848,-0.4932,0.765
1.0960,0.4436,-0.6218,-0.4728,0.898
1.0970,0.6019,-0.7930,-0.3781,1.065
1.1320,0.7262,-0.8081,-0.4192,1.164
1.1330,0.8183,-0.7851,-0.6324,1.298
1.1340,0.7630,-0.6511,-0.9004,1.348
1.1350,0.7904,-0.4678,-1.1058,1.437
1.1430,0.7429,-0.3471,-1.3462,1.576
1.1550,0.6976,-0.3820,-1.5851,1.773
1.1620,0.6525,-0.4370,-1.7467,1.915
1.1720,0.4756,-0.4371,-1.8299,1.941
1.2020,0.3153,-0.3794,-1.6835,1.754
1.2030,0.0219,-0.3615,-1.5551,1.597
1.2040,-0.0446,-0.3394,-1.2188,1.266
1.2120,-0.0557,-0.3700,-0.8856,0.961
1.2230,0.0457,-0.2609,-0.4794,0.548
1.2390,0.0347,-0.0538,-0.2087,0.218
1.2420,0.0436,0.1730,-0.0531,0.186
1.2520,0.0414,0.2110,-0.0139,0.215
1.2620,-0.1056,0.2135,-0.2059,0.315
1.2780,-0.1052,0.0854,-0.3803,0.404
1.3020,-0.1205,-0.0237,-0.4585,0.475
1.3030,-0.1232,-0.1168,-0.3241,0.366
1.3040,-0.1186,0.0290,-0.2412,0.270
1.3110,0.0099,0.2783,-0.0558,0.284
1.3210,0.0136,0.6757,0.0557,0.678
1.3310,0.0138,1.0105,0.0556,1.012
1.3410,0.0918,1.2111,-0.1166,1.220
1.3510,0.2698,1.1808,-0.3834,1.270
1.3600,0.3763,0.9241,-0.5372,1.133
1.3700,0.5639,0.7808,-0.6894,1.184
1.3910,0.6355,0.7342,-0.8422,1.285
1.3920,0.7059,0.8189,-0.8206,1.357
1.4250,0.6570,0.9413,-0.8562,1.432
1.4260,0.6243,0.9484,-0.8915,1.444
1.4270,0.4955,1.0147,-0.8513,1.414
1.4340,0.4239,0.9292,-0.6012,1.185
1.4400,0.3495,0.7738,-0.2220,0.878
1.4500,0.1603,0.5302,0.1519,0.574
1.4600,0.0127,0.1838,0.5366,0.567
1.4700,-0.1479,-0.2054,0.7197,0.763
1.4910,-0.3070,-0.5248,1.0476,1.211
1.4920,-0.5240,-0.7949,1.3103,1.620
1.5200,-0.6133,-0.9683,1.7445,2.087
1.5210,-0.6538,-1.2153,1.9845,2.417
1.5230,-0.7718,-1.4051,2.1867,2.711
1.5300,-0.7307,-1.3760,2.3060,2.783
1.5390,-0.6528,-1.4639,2.0199,2.579
1.5490,-0.6328,-1.4128,1.4050,2.091
1.5590,-0.7176,-1.2934,0.7008,1.637
1.5690,-0.7538,-1.0898,0.1008,1.329
1.5890,-0.6540,-0.9756,-0.4522,1.259
1.5900,-0.6108,-0.8341,-1.0361,1.464
1.6200,-0.5894,-0.5813,-1.4072,1.633
1.6210,-0.5671,-0.4075,-1.5274,1.679
1.6220,-0.5287,-0.3074,-1.5157,1.634
1.6290,-0.5680,-0.3202,-1.3904,1.536
1.6380,-0.6866,-0.3669,-1.1151,1.360
1.6480,-0.6563,-0.5066,-0.8803,1.209
1.6600,-0.5740,-0.5891,-0.6651,1.058
1.6670,-0.5351,-0.5985,-0.5438,0.970
1.6780,-0.6142,-0.5534,-0.5548,0.996
1.6870,-0.5800,-0.4383,-0.6765,0.993
1.7130,-0.5993,-0.4590,-0.9689,1.228
1.7150,-0.5796,-0.5201,-1.1830,1.416
