time,ax,ay,az,aT
0.0040,-0.5339,-0.5275,-0.1513,0.766
0.0050,-0.3990,-0.5075,-0.0167,0.646
0.0060,-0.3240,-0.4738,0.3039,0.649
0.0090,-0.3519,-0.4557,0.6480,0.867
0.0150,-0.4876,-0.4125,1.0299,1.212
0.0190,-0.6315,-0.3785,1.2469,1.448
0.0250,-0.6263,-0.3515,1.2563,1.447
0.0330,-0.6303,-0.3120,1.0776,1.287
0.0350,-0.7193,-0.2980,0.7800,1.102
0.0390,-0.8023,-0.3015,0.4879,0.986
0.0470,-0.8876,-0.2738,0.2104,0.952
0.0490,-0.9796,-0.2406,-0.0408,1.010
0.0540,-1.0272,-0.1585,-0.1968,1.058
0.0590,-1.0903,-0.0966,-0.4129,1.170
0.0630,-1.1909,-0.1072,-0.5409,1.312
0.0690,-1.3455,-0.1639,-0.6430,1.500
0.0740,-1.2785,0.0725,-0.6594,1.440
0.0800,-1.1461,0.4536,-0.5374,1.345
0.0830,-0.8685,0.7300,-0.2605,1.164
0.0880,-0.5774,0.8969,0.0663,1.069
0.0960,-0.3059,0.8123,0.4358,0.971
0.0990,-0.2080,0.5666,0.6262,0.870
0.1030,-0.3182,0.1999,0.7120,0.805
0.1080,-0.6321,-0.0436,0.7052,0.948
0.1140,-1.1990,-0.0060,0.6084,1.345
0.1180,-1.7154,0.1430,0.4717,1.785
0.1220,-1.8335,0.4895,0.2162,1.910
0.1280,-1.7907,0.7999,-0.0936,1.964
0.1330,-1.7217,0.9196,-0.3050,1.976
0.1380,-1.5515,0.8874,-0.3872,1.829
0.1420,-1.3083,0.7178,-0.4384,1.555
0.1470,-1.0699,0.4970,-0.4516,1.263
0.1540,-0.8884,0.3777,-0.4697,1.074
0.1570,-0.7798,0.3359,-0.4450,0.959
0.1610,-0.7793,0.3809,-0.4563,0.980
0.1720,-0.7741,0.5218,-0.4294,1.028
0.1730,-0.7930,0.6510,-0.3836,1.095
0.1770,-0.7527,0.7638,-0.3308,1.122
0.1820,-0.7160,0.7218,-0.1516,1.028
0.1870,-0.6780,0.5920,0.1634,0.915
0.1910,-0.6981,0.4406,0.5904,1.015
0.1970,-0.7531,0.2290,1.0647,1.324
0.2020,-0.8143,0.1521,1.4362,1.658
0.2060,-0.8964,0.0808,1.6332,1.865
0.2100,-0.9910,0.1035,1.6536,1.931
0.2150,-1.0989,0.1650,1.5575,1.913
0.2200,-1.1460,0.1794,1.2995,1.742
0.2260,-1.1485,0.2119,0.9657,1.515
0.2300,-1.0795,0.2437,0.5753,1.247
0.2360,-0.9834,0.2635,0.2762,1.055
0.2410,-0.8409,0.2741,-0.0201,0.885
0.2450,-0.7313,0.2780,-0.2157,0.812
0.2510,-0.6267,0.2443,-0.3300,0.749
0.2550,-0.5590,0.2260,-0.4611,0.759
0.2610,-0.4447,0.2426,-0.5925,0.780
0.2650,-0.0886,0.0536,-0.8557,0.862
0.2760,0.1820,-0.1347,-1.0119,1.037
0.2770,-0.3103,-0.0639,-0.9250,0.978
0.2790,-1.2710,0.2602,-0.4303,1.367
0.2870,-1.7089,0.3268,0.1160,1.744
0.2910,-1.4917,0.1017,0.4299,1.556
0.2930,-1.0049,-0.1691,0.5548,1.160
0.2980,-0.7328,-0.3134,0.6175,1.008
0.3090,-0.6447,-0.3463,0.6231,0.961
0.3110,-0.7394,-0.3777,0.6314,1.043
