time,gFx,gFy,gFz,aT
0.005000,-0.1569,0.2954,0.7743,0.843
0.005000,-0.1467,0.3039,0.8172,0.884
0.008000,-0.1386,0.3027,0.8649,0.927
0.013000,-0.1281,0.2990,0.9039,0.961
0.017000,-0.1162,0.3000,0.9320,0.986
0.023000,-0.0969,0.2925,0.9464,0.995
0.028000,-0.0849,0.2822,0.9496,0.994
0.032000,-0.0805,0.2690,0.9557,0.996
0.038000,-0.0927,0.2607,0.9645,1.003
0.042000,-0.1144,0.2507,0.9698,1.008
0.048000,-0.1367,0.2378,1.0013,1.038
0.052000,-0.1328,0.2229,1.1022,1.132
0.057000,-0.1264,0.2087,1.1781,1.203
0.062000,-0.1462,0.1860,1.1871,1.210
0.066000,-0.1611,0.1616,1.1832,1.205
0.071000,-0.1525,0.1433,1.1842,1.203
0.076000,-0.1501,0.1311,1.1791,1.196
0.081000,-0.1457,0.1276,1.1466,1.163
0.085000,-0.1398,0.1347,1.0956,1.113
0.090000,-0.1286,0.1464,1.0458,1.064
0.096000,-0.1164,0.1640,1.0052,1.025
0.103000,-0.1088,0.1889,0.9672,0.991
0.106000,-0.1049,0.2177,0.9215,0.953
0.110000,-0.1039,0.2351,0.8678,0.905
0.116000,-0.1044,0.2607,0.8316,0.878
0.120000,-0.1120,0.2893,0.8128,0.870
0.132000,-0.1262,0.3093,0.7948,0.862
0.133000,-0.1306,0.3232,0.7838,0.858
0.135000,-0.1276,0.3227,0.7789,0.853
0.140000,-0.1252,0.3157,0.7828,0.853
0.146000,-0.1237,0.3059,0.7938,0.860
0.150000,-0.1176,0.2868,0.8084,0.866
0.155000,-0.0978,0.2595,0.8304,0.876
0.160000,-0.0683,0.2243,0.8609,0.892
0.165000,-0.0368,0.1836,0.8915,0.911
0.170000,-0.0014,0.1394,0.9562,0.966
0.174000,0.0264,0.1023,1.0370,1.042
0.180000,0.0145,0.0820,1.0778,1.081
0.184000,-0.0048,0.0881,1.1266,1.130
0.189000,-0.0292,0.1142,1.1642,1.170
0.193000,-0.0717,0.1474,1.1776,1.189
0.203000,-0.1225,0.1740,1.1659,1.185
0.209000,-0.1625,0.1875,1.1449,1.171
0.209000,-0.1970,0.1943,1.1119,1.146
0.214000,-0.2177,0.1943,1.0761,1.115
0.220000,-0.2336,0.1950,1.0331,1.077
0.223000,-0.2185,0.1902,1.0011,1.042
0.229000,-0.2004,0.1831,0.9811,1.018
0.234000,-0.1677,0.1755,0.9720,1.002
0.238000,-0.1350,0.1709,0.9635,0.988
0.244000,-0.0996,0.1701,0.9552,0.975
0.249000,-0.0739,0.1684,0.9545,0.972
0.253000,-0.0500,0.1721,0.9545,0.971
0.259000,-0.0300,0.1777,0.9532,0.970
0.263000,-0.0246,0.1804,0.9466,0.964
0.269000,-0.0185,0.1806,0.9442,0.962
0.273000,-0.0141,0.1840,0.9508,0.969
0.277000,-0.0192,0.1799,0.9567,0.974
0.282000,-0.0231,0.1777,0.9635,0.980
0.287000,-0.0305,0.1696,0.9762,0.991
0.292000,-0.0463,0.1621,0.9874,1.002
0.297000,-0.0580,0.1596,0.9906,1.005
0.302000,-0.0624,0.1528,0.9891,1.003
0.306000,-0.0659,0.1540,0.9838,0.998
0.311000,-0.0739,0.1540,0.9821,0.997
0.317000,-0.0820,0.1555,0.9840,1.000
0.326000,-0.0839,0.1567,0.9962,1.012
0.327000,-0.0788,0.1599,1.0138,1.029
0.331000,-0.0878,0.1694,1.0345,1.052
0.336000,-0.0971,0.1823,1.0538,1.074
0.343000,-0.0939,0.1867,1.0714,1.092
0.346000,-0.0815,0.1799,1.0768,1.095
0.351000,-0.0656,0.1687,1.0670,1.082
0.356000,-0.0544,0.1567,1.0499,1.063
0.361000,-0.0515,0.1452,1.0370,1.048
0.366000,-0.0585,0.1372,1.0211,1.032
0.370000,-0.0656,0.1333,1.0052,1.016
0.376000,-0.0734,0.1342,0.9938,1.005
0.381000,-0.0793,0.1386,0.9791,0.992
0.385000,-0.0788,0.1384,0.9686,0.982
0.389000,-0.0759,0.1457,0.9581,0.972
0.398000,-0.0707,0.1455,0.9376,0.951
0.400000,-0.0668,0.1587,0.9474,0.963
0.404000,-0.0612,0.1748,0.9901,1.007
0.409000,-0.0568,0.1892,1.0138,1.033
0.415000,-0.0451,0.1889,1.0175,1.036
0.420000,-0.0292,0.1809,1.0067,1.023
0.424000,-0.0417,0.1684,0.9542,0.970
0.429000,-0.0307,0.1731,0.9576,0.974
0.435000,0.0032,0.1611,0.9752,0.988
0.439000,0.0123,0.1403,0.9823,0.992
0.443000,0.0230,0.1254,0.9835,0.992
0.449000,0.0323,0.1201,0.9867,0.994
0.454000,0.0357,0.1269,0.9889,0.998
0.460000,0.0374,0.1381,0.9933,1.004
0.463000,0.0389,0.1526,1.0040,1.016
0.469000,0.0367,0.1638,1.0082,1.022
0.478000,0.0369,0.1738,1.0179,1.033
0.479000,0.0328,0.1843,1.0306,1.047
0.484000,0.0240,0.1882,1.0460,1.063
0.488000,0.0118,0.1948,1.0553,1.073
0.493000,-0.0007,0.2014,1.0668,1.086
0.498000,-0.0104,0.2041,1.0697,1.089
0.504000,-0.0160,0.2036,1.0714,1.091
0.508000,-0.0180,0.2019,1.0673,1.086
0.513000,-0.0121,0.1989,1.0504,1.069
0.518000,-0.0090,0.1836,1.0297,1.046
0.523000,-0.0038,0.1672,1.0048,1.019
0.528000,0.0015,0.1457,0.9825,0.993
0.533000,0.0128,0.1286,0.9718,0.980
0.544000,0.0194,0.1118,0.9694,0.976
0.545000,0.0225,0.0998,0.9674,0.973
0.547000,0.0250,0.0957,0.9657,0.971
0.551000,0.0269,0.0935,0.9713,0.976
0.557000,0.0299,0.0983,0.9755,0.981
0.562000,0.0247,0.1149,0.9886,0.996
0.567000,0.0213,0.1374,0.9972,1.007
0.572000,0.0201,0.1626,1.0123,1.025
0.577000,0.0206,0.1909,1.0299,1.048
0.580000,0.0179,0.2160,1.0524,1.074
0.586000,0.0169,0.2383,1.0726,1.099
0.594000,0.0201,0.2524,1.0900,1.119
0.595000,0.0267,0.2622,1.1080,1.139
0.600000,0.0374,0.2614,1.1159,1.147
0.605000,0.0555,0.2466,1.1124,1.141
0.610000,0.0714,0.2187,1.0897,1.114
0.615000,0.0870,0.1823,1.0614,1.080
0.620000,0.0919,0.1582,1.0316,1.048
0.624000,0.0867,0.1435,1.0030,1.017
0.630000,0.0440,0.1716,0.9811,0.997
0.635000,0.0003,0.1894,0.9576,0.976
0.640000,-0.0112,0.1535,0.9432,0.956
0.645000,-0.0051,0.1174,0.9427,0.950
0.650000,0.0081,0.0827,0.9471,0.951
0.661000,0.0115,0.0659,0.9645,0.967
0.664000,0.0015,0.0654,0.9847,0.987
0.664000,-0.0175,0.0835,0.9955,0.999
0.669000,-0.0436,0.1135,1.0048,1.012
0.674000,-0.0722,0.1494,1.0052,1.019
0.680000,-0.0981,0.1860,1.0040,1.026
0.685000,-0.1220,0.2238,0.9965,1.029
0.688000,-0.1411,0.2705,0.9874,1.033
0.693000,-0.1201,0.2605,0.9698,1.011
0.699000,-0.0851,0.2551,0.9442,0.982
0.704000,-0.0414,0.2470,0.9151,0.949
0.708000,-0.0060,0.2334,0.8839,0.914
0.714000,0.0133,0.2243,0.8668,0.895
0.718000,0.0333,0.2026,0.8573,0.882
0.723000,0.0521,0.1804,0.8595,0.880
0.728000,0.0606,0.1609,0.8732,0.890
0.734000,0.0626,0.1423,0.8993,0.913
0.738000,0.0584,0.1267,0.9340,0.944
0.743000,0.0496,0.1164,0.9676,0.976
0.748000,0.0379,0.1093,0.9965,1.003
0.752000,0.0259,0.1047,1.0175,1.023
0.759000,0.0123,0.1052,1.0277,1.033
0.762000,-0.0051,0.1093,1.0416,1.047
0.770000,-0.0246,0.1215,1.0538,1.061
0.772000,-0.0495,0.1347,1.0631,1.073
0.776000,-0.0830,0.1477,1.0648,1.078
0.782000,-0.1223,0.1667,1.0577,1.078
0.786000,-0.1520,0.1765,1.0377,1.064
0.792000,-0.1665,0.1792,1.0045,1.034
0.798000,-0.1696,0.1819,0.9698,1.001
0.803000,-0.1542,0.1748,0.9357,0.964
0.806000,-0.1359,0.1728,0.9103,0.936
0.810000,-0.1123,0.1748,0.8937,0.917
0.817000,-0.0908,0.1767,0.8905,0.912
0.821000,-0.0778,0.1836,0.9056,0.927
0.825000,-0.0683,0.1904,0.9220,0.944
0.830000,-0.0615,0.2006,0.9425,0.966
0.835000,-0.0588,0.2129,0.9591,0.984
0.840000,-0.0590,0.2263,0.9637,0.992
0.846000,-0.0624,0.2392,0.9584,0.990
0.850000,-0.0654,0.2458,0.9508,0.984
0.861000,-0.0654,0.2502,0.9415,0.976
0.862000,-0.0651,0.2527,0.9330,0.969
0.865000,-0.0717,0.2536,0.9237,0.961
0.871000,-0.0766,0.2531,0.9217,0.959
0.874000,-0.0781,0.2524,0.9186,0.956
0.879000,-0.0808,0.2490,0.9217,0.958
0.885000,-0.0805,0.2475,0.9335,0.969
0.889000,-0.0778,0.2422,0.9432,0.977
0.894000,-0.0671,0.2331,0.9469,0.977
0.900000,-0.0527,0.2243,0.9488,0.976
0.905000,-0.0395,0.2170,0.9466,0.972
0.910000,-0.0263,0.2124,0.9488,0.973
0.914000,-0.0180,0.2043,0.9459,0.968
0.919000,-0.0143,0.1870,0.9510,0.969
0.924000,-0.0151,0.1828,0.9593,0.977
0.929000,-0.0151,0.1880,0.9569,0.975
0.934000,-0.0068,0.1970,0.9554,0.976
0.938000,0.0015,0.2021,0.9642,0.985
0.944000,0.0049,0.2002,0.9781,0.998
0.948000,0.0035,0.1994,0.9899,1.010
0.954000,0.0084,0.1987,0.9901,1.010
0.961000,0.0137,0.1948,0.9845,1.004
0.963000,0.0284,0.1921,0.9767,0.996
0.968000,0.0321,0.1955,0.9630,0.983
0.974000,0.0369,0.1987,0.9488,0.970
0.977000,0.0333,0.1997,0.9322,0.954
0.982000,0.0274,0.1989,0.9137,0.935
0.987000,0.0225,0.1997,0.8990,0.921
0.993000,0.0106,0.2060,0.8885,0.912
0.998000,0.0006,0.2080,0.8817,0.906
1.002000,-0.0085,0.2114,0.8876,0.912
1.007000,-0.0163,0.2190,0.9054,0.932
1.012000,-0.0209,0.2251,0.9276,0.955
1.017000,-0.0197,0.2334,0.9466,0.975
1.022000,-0.0207,0.2365,0.9630,0.992
1.027000,-0.0136,0.2368,0.9723,1.001
1.032000,-0.0092,0.2331,0.9813,1.009
1.037000,-0.0026,0.2292,0.9901,1.016
1.041000,0.0086,0.2234,0.9925,1.017
1.047000,0.0152,0.2209,0.9896,1.014
1.053000,0.0184,0.2136,0.9867,1.010
1.056000,0.0208,0.2092,0.9840,1.006
1.065000,0.0154,0.2053,0.9838,1.005
1.069000,0.0103,0.2033,0.9852,1.006
1.071000,0.0006,0.1963,0.9860,1.005
1.076000,-0.0051,0.1919,0.9984,1.017
1.080000,-0.0192,0.1938,1.0062,1.025
1.086000,-0.0351,0.2063,1.0248,1.046
1.091000,-0.0441,0.2177,1.0472,1.071
1.095000,-0.0339,0.2231,1.0653,1.089
1.100000,-0.0302,0.2182,1.0775,1.100
1.106000,-0.0204,0.2072,1.0841,1.104
1.110000,-0.0178,0.1899,1.0748,1.092
1.115000,-0.0090,0.1687,1.0638,1.077
1.119000,0.0067,0.1530,1.0521,1.063
1.124000,0.0216,0.1418,1.0360,1.046
1.129000,0.0330,0.1403,1.0199,1.030
1.134000,0.0318,0.1403,1.0087,1.019
1.140000,0.0225,0.1474,1.0038,1.015
1.145000,0.0081,0.1569,1.0030,1.015
1.149000,-0.0141,0.1694,1.0021,1.016
1.158000,-0.0334,0.1862,1.0028,1.020
1.159000,-0.0524,0.2038,1.0092,1.031
1.164000,-0.0632,0.2192,1.0111,1.037
1.169000,-0.0715,0.2285,1.0089,1.037
1.174000,-0.0717,0.2326,1.0045,1.034
1.179000,-0.0725,0.2287,0.9994,1.028
1.183000,-0.0710,0.2258,0.9933,1.021
1.190000,-0.0612,0.2192,0.9916,1.017
1.194000,-0.0510,0.2104,0.9838,1.007
1.198000,-0.0402,0.2085,0.9791,1.002
1.203000,-0.0356,0.2024,0.9833,1.005
1.208000,-0.0261,0.2031,0.9818,1.003
1.212000,-0.0180,0.2011,0.9794,1.000
1.218000,-0.0134,0.2026,0.9796,1.000
1.222000,-0.0095,0.2031,0.9742,0.995
1.228000,-0.0060,0.2038,0.9764,0.997
1.233000,-0.0012,0.2050,0.9701,0.992
1.237000,0.0071,0.2080,0.9667,0.989
1.242000,0.0140,0.2080,0.9642,0.986
1.247000,0.0133,0.2036,0.9591,0.981
1.252000,0.0174,0.2058,0.9591,0.981
1.257000,0.0181,0.2004,0.9620,0.983
1.262000,0.0111,0.1997,0.9728,0.993
1.266000,0.0020,0.1994,0.9791,0.999
1.274000,-0.0036,0.2058,0.9767,0.998
1.277000,-0.0041,0.2104,0.9769,0.999
1.281000,0.0025,0.2121,0.9867,1.009
1.286000,0.0062,0.2094,0.9960,1.018
1.292000,0.0089,0.2060,0.9974,1.019
1.296000,0.0123,0.1994,0.9991,1.019
1.301000,0.0137,0.1943,1.0009,1.020
1.306000,0.0133,0.1953,1.0043,1.023
1.310000,0.0042,0.1985,1.0035,1.023
1.315000,-0.0041,0.2026,1.0028,1.023
1.321000,-0.0107,0.2058,0.9945,1.016
1.325000,-0.0168,0.2021,0.9838,1.004
1.330000,-0.0165,0.2021,0.9713,0.992
1.335000,-0.0114,0.1972,0.9635,0.984
1.343000,-0.0051,0.1943,0.9562,0.976
1.347000,-0.0007,0.1921,0.9469,0.966
1.349000,0.0040,0.1972,0.9398,0.960
1.355000,0.0096,0.1999,0.9332,0.954
1.360000,0.0081,0.2063,0.9315,0.954
1.365000,0.0040,0.2141,0.9371,0.961
1.371000,-0.0041,0.2190,0.9425,0.968
1.376000,-0.0056,0.2209,0.9481,0.974
1.379000,-0.0068,0.2187,0.9506,0.975
1.384000,-0.0053,0.2158,0.9569,0.981
1.390000,-0.0043,0.2111,0.9606,0.984
1.394000,0.0028,0.2072,0.9642,0.986
1.399000,0.0040,0.2031,0.9652,0.986
1.403000,0.0091,0.1948,0.9650,0.984
1.409000,0.0108,0.1933,0.9635,0.983
1.414000,0.0111,0.1926,0.9608,0.980
1.418000,0.0091,0.1899,0.9549,0.974
1.424000,0.0079,0.1911,0.9540,0.973
1.430000,0.0049,0.1936,0.9506,0.970
1.435000,0.0006,0.1970,0.9528,0.973
1.441000,-0.0026,0.2036,0.9598,0.981
1.444000,-0.0043,0.2072,0.9698,0.992
1.449000,-0.0070,0.2133,0.9794,1.002
1.454000,-0.0124,0.2148,0.9896,1.013
1.460000,-0.0168,0.2177,0.9979,1.022
1.465000,-0.0156,0.2173,1.0094,1.033
1.471000,-0.0168,0.2182,1.0128,1.036
1.475000,-0.0136,0.2173,1.0140,1.037
1.478000,-0.0085,0.2170,1.0111,1.034
1.483000,-0.0048,0.2104,1.0079,1.030
1.488000,-0.0026,0.2121,1.0050,1.027
1.493000,0.0023,0.2097,1.0016,1.023
1.506000,0.0049,0.2114,0.9967,1.019
1.508000,0.0052,0.2109,0.9928,1.015
1.509000,0.0047,0.2163,0.9906,1.014
1.512000,0.0028,0.2246,0.9938,1.019
1.517000,0.0025,0.2282,0.9950,1.021
1.523000,-0.0004,0.2319,0.9960,1.023
1.527000,-0.0024,0.2343,0.9967,1.024
1.532000,0.0013,0.2297,0.9999,1.026
1.535000,0.0054,0.2273,1.0043,1.030
1.541000,0.0049,0.2226,1.0055,1.030
1.545000,0.0040,0.2209,1.0028,1.027
1.551000,0.0035,0.2199,0.9972,1.021
1.556000,0.0035,0.2126,0.9918,1.014
1.561000,0.0030,0.2116,0.9816,1.004
1.565000,0.0023,0.2129,0.9720,0.995
1.570000,0.0035,0.2153,0.9669,0.991
1.576000,0.0054,0.2221,0.9637,0.989
1.581000,0.0111,0.2282,0.9567,0.984
1.585000,0.0142,0.2304,0.9506,0.978
1.595000,0.0167,0.2329,0.9462,0.975
1.596000,0.0223,0.2368,0.9471,0.977
1.601000,0.0230,0.2385,0.9506,0.980
1.604000,0.0252,0.2395,0.9528,0.983
1.609000,0.0235,0.2404,0.9584,0.988
1.615000,0.0206,0.2375,0.9662,0.995
1.619000,0.0154,0.2358,0.9691,0.998
1.624000,0.0150,0.2326,0.9745,1.002
1.629000,0.0093,0.2270,0.9762,1.002
1.634000,0.0093,0.2234,0.9772,1.002
1.640000,0.0069,0.2226,0.9708,0.996
1.644000,0.0037,0.2226,0.9720,0.997
1.649000,0.0006,0.2246,0.9684,0.994
1.654000,-0.0038,0.2256,0.9635,0.990
1.658000,-0.0048,0.2258,0.9591,0.985
1.664000,-0.0041,0.2231,0.9525,0.978
1.669000,-0.0043,0.2243,0.9466,0.973
1.679000,-0.0043,0.2241,0.9425,0.969
1.682000,0.0006,0.2234,0.9383,0.965
1.683000,0.0020,0.2256,0.9340,0.961
1.689000,0.0003,0.2258,0.9379,0.965
1.693000,0.0037,0.2302,0.9449,0.973
1.698000,0.0028,0.2309,0.9479,0.976
1.703000,0.0067,0.2319,0.9466,0.975
1.709000,0.0047,0.2346,0.9488,0.977
1.713000,0.0076,0.2329,0.9491,0.977
1.717000,0.0103,0.2226,0.9523,0.978
1.722000,0.0091,0.2155,0.9613,0.985
1.728000,0.0057,0.2141,0.9662,0.990
1.732000,0.0023,0.2116,0.9740,0.997
1.737000,0.0001,0.2104,0.9745,0.997
1.742000,0.0001,0.2075,0.9786,1.000
1.747000,0.0001,0.2077,0.9796,1.001
1.751000,-0.0016,0.2124,0.9806,1.003
1.762000,-0.0021,0.2121,0.9850,1.008
1.763000,0.0020,0.2177,0.9955,1.019
1.766000,0.0028,0.2219,0.9994,1.024
1.771000,0.0032,0.2214,1.0013,1.026
1.776000,0.0010,0.2192,0.9994,1.023
1.781000,0.0018,0.2173,1.0004,1.024
1.786000,0.0040,0.2114,0.9994,1.022
1.793000,0.0047,0.2087,0.9940,1.016
1.796000,0.0028,0.2033,0.9923,1.013
1.801000,0.0028,0.2014,0.9906,1.011
1.806000,0.0015,0.1989,0.9830,1.003
1.810000,-0.0026,0.1970,0.9808,1.000
1.816000,-0.0041,0.1992,0.9811,1.001
1.820000,-0.0051,0.2014,0.9784,0.999
1.825000,-0.0080,0.2031,0.9750,0.996
1.830000,-0.0073,0.2046,0.9737,0.995
1.835000,-0.0056,0.2011,0.9784,0.999
1.840000,-0.0041,0.1987,0.9755,0.995
1.845000,-0.0063,0.1982,0.9725,0.993
1.849000,-0.0063,0.1985,0.9735,0.994
1.854000,-0.0077,0.2021,0.9698,0.991
1.862000,-0.0058,0.2050,0.9750,0.996
1.869000,-0.0043,0.2087,0.9811,1.003
1.870000,-0.0014,0.2114,0.9838,1.006
1.875000,0.0037,0.2121,0.9911,1.014
1.880000,0.0108,0.2072,0.9850,1.007
1.884000,0.0154,0.2075,0.9847,1.006
1.889000,0.0142,0.2036,0.9842,1.005
1.893000,0.0125,0.2041,0.9833,1.004
1.899000,0.0091,0.2046,0.9818,1.003
1.903000,0.0040,0.2026,0.9821,1.003
1.910000,0.0030,0.2058,0.9818,1.003
1.913000,0.0008,0.2038,0.9789,1.000
1.918000,0.0025,0.2019,0.9818,1.002
1.923000,0.0037,0.2011,0.9796,1.000
1.928000,0.0023,0.1997,0.9811,1.001
1.934000,0.0013,0.2016,0.9794,1.000
1.938000,-0.0009,0.2014,0.9742,0.995
1.943000,-0.0031,0.1982,0.9725,0.993
1.948000,-0.0048,0.1967,0.9689,0.989
1.953000,-0.0053,0.1977,0.9759,0.996
1.962000,-0.0041,0.1997,0.9779,0.998
1.964000,-0.0046,0.2031,0.9825,1.003
1.969000,-0.0080,0.2033,0.9774,0.998
1.972000,-0.0048,0.2075,0.9750,0.997
1.977000,-0.0048,0.2060,0.9711,0.993
1.982000,-0.0036,0.2041,0.9645,0.986
1.987000,-0.0019,0.1997,0.9606,0.981
1.992000,-0.0034,0.1997,0.9615,0.982
1.997000,-0.0041,0.2033,0.9672,0.988
2.001000,-0.0043,0.2068,0.9791,1.001
2.006000,-0.0073,0.2146,0.9806,1.004
2.011000,-0.0099,0.2155,0.9796,1.003
2.016000,-0.0102,0.2119,0.9750,0.998
2.020000,-0.0056,0.2070,0.9781,1.000
2.027000,-0.0021,0.1989,0.9784,0.998
2.030000,-0.0007,0.1960,0.9781,0.998
2.035000,0.0013,0.1923,0.9791,0.998
2.040000,0.0025,0.1955,0.9796,0.999
2.045000,-0.0014,0.2006,0.9791,0.999
2.050000,-0.0053,0.2058,0.9777,0.999
2.055000,-0.0056,0.2063,0.9723,0.994
2.061000,-0.0051,0.2094,0.9716,0.994
2.065000,-0.0041,0.2043,0.9703,0.992
2.071000,-0.0046,0.2021,0.9701,0.991
2.076000,-0.0038,0.1999,0.9789,0.999
2.080000,-0.0043,0.1992,0.9869,1.007
2.085000,-0.0070,0.2036,0.9921,1.013
2.090000,-0.0104,0.2068,0.9957,1.017
2.095000,-0.0095,0.2068,0.9962,1.017
2.099000,-0.0080,0.2038,0.9962,1.017
2.104000,-0.0068,0.2024,0.9984,1.019
2.110000,-0.0041,0.1992,1.0016,1.021
2.114000,-0.0034,0.1982,1.0016,1.021
2.119000,-0.0004,0.2011,1.0023,1.022
2.124000,-0.0007,0.2028,1.0006,1.021
2.129000,0.0020,0.2072,0.9972,1.018
2.134000,0.0045,0.2060,0.9925,1.014
2.138000,0.0067,0.2053,0.9860,1.007
2.145000,0.0125,0.2063,0.9872,1.009
2.148000,0.0140,0.2046,0.9833,1.004
2.153000,0.0135,0.2046,0.9857,1.007
2.165000,0.0125,0.2050,0.9835,1.005
2.167000,0.0091,0.2046,0.9794,1.001
2.168000,0.0079,0.2041,0.9740,0.995
2.173000,0.0032,0.2004,0.9723,0.993
2.180000,-0.0021,0.2033,0.9737,0.995
2.183000,-0.0034,0.2036,0.9794,1.000
2.188000,-0.0048,0.2077,0.9891,1.011
2.193000,-0.0053,0.2094,0.9943,1.016
2.198000,-0.0056,0.2102,0.9947,1.017
2.202000,-0.0046,0.2060,0.9943,1.015
2.208000,-0.0004,0.2009,0.9882,1.008
2.213000,0.0028,0.1985,0.9882,1.008
2.217000,0.0020,0.1982,0.9896,1.009
2.222000,0.0013,0.1982,0.9886,1.008
2.227000,-0.0029,0.2016,0.9899,1.010
2.232000,-0.0041,0.2043,0.9877,1.009
2.236000,-0.0058,0.2087,0.9828,1.005
2.241000,-0.0058,0.2063,0.9774,0.999
2.247000,-0.0041,0.2038,0.9701,0.991
2.252000,-0.0024,0.1977,0.9637,0.984
2.257000,0.0040,0.1994,0.9628,0.983
2.263000,0.0023,0.1960,0.9652,0.985
2.266000,0.0037,0.1982,0.9625,0.983
2.271000,0.0032,0.1999,0.9637,0.984
2.277000,0.0003,0.2026,0.9620,0.983
2.282000,-0.0016,0.2043,0.9603,0.982
2.292000,0.0013,0.2046,0.9630,0.984
2.296000,0.0049,0.2028,0.9635,0.985
2.297000,0.0079,0.1997,0.9698,0.990
2.302000,0.0103,0.2002,0.9752,0.996
2.306000,0.0145,0.1999,0.9769,0.997
2.310000,0.0157,0.2002,0.9796,1.000
2.315000,0.0152,0.2033,0.9750,0.996
2.320000,0.0157,0.2041,0.9747,0.996
2.324000,0.0154,0.2075,0.9733,0.995
2.330000,0.0154,0.2048,0.9745,0.996
2.335000,0.0128,0.2036,0.9772,0.998
2.340000,0.0089,0.2041,0.9811,1.002
2.344000,0.0040,0.2031,0.9803,1.001
2.350000,0.0006,0.2002,0.9799,1.000
2.354000,0.0010,0.1999,0.9850,1.005
2.364000,0.0006,0.1992,0.9860,1.006
2.365000,0.0023,0.1977,0.9867,1.006
2.369000,0.0062,0.1941,0.9864,1.005
2.374000,0.0096,0.1933,0.9835,1.002
2.379000,0.0093,0.1928,0.9816,1.000
2.384000,0.0093,0.1936,0.9816,1.001
2.388000,0.0084,0.1950,0.9835,1.003
2.394000,0.0062,0.1997,0.9882,1.008
2.398000,0.0069,0.2006,0.9899,1.010
2.403000,0.0071,0.2021,0.9908,1.011
2.410000,0.0093,0.2014,0.9962,1.016
2.412000,0.0111,0.2028,0.9940,1.015
2.417000,0.0135,0.1999,0.9906,1.011
2.422000,0.0113,0.2004,0.9901,1.010
2.428000,0.0076,0.1980,0.9862,1.006
2.432000,0.0101,0.1989,0.9874,1.007
2.437000,0.0047,0.1960,0.9833,1.003
2.443000,0.0020,0.1970,0.9816,1.001
2.448000,-0.0019,0.2006,0.9821,1.002
2.451000,-0.0051,0.2014,0.9806,1.001
2.458000,-0.0077,0.2009,0.9791,1.000
2.462000,-0.0092,0.2004,0.9769,0.997
2.466000,-0.0087,0.1992,0.9791,0.999
2.471000,-0.0082,0.1965,0.9789,0.998
2.481000,-0.0063,0.1914,0.9791,0.998
2.482000,-0.0060,0.1921,0.9828,1.001
2.487000,-0.0051,0.1923,0.9847,1.003
2.495000,-0.0021,0.1943,0.9828,1.002
2.498000,0.0008,0.1972,0.9791,0.999
2.501000,0.0062,0.1992,0.9791,0.999
2.506000,0.0067,0.2041,0.9794,1.000
2.511000,0.0079,0.2050,0.9813,1.003
2.515000,0.0074,0.2077,0.9816,1.003
2.520000,0.0089,0.2058,0.9852,1.007
2.526000,0.0079,0.2031,0.9864,1.007
2.530000,0.0091,0.2019,0.9857,1.006
2.535000,0.0074,0.1992,0.9842,1.004
2.541000,0.0045,0.1982,0.9830,1.003
2.549000,-0.0019,0.1943,0.9825,1.002
2.550000,-0.0031,0.1985,0.9864,1.006
2.557000,-0.0051,0.1967,0.9901,1.009
2.560000,-0.0077,0.1967,0.9904,1.010
2.565000,-0.0085,0.1928,0.9913,1.010
2.570000,-0.0095,0.1921,0.9916,1.010
2.574000,-0.0087,0.1943,0.9882,1.007
2.579000,-0.0104,0.1892,0.9860,1.004
2.585000,-0.0077,0.1899,0.9806,0.999
2.589000,-0.0058,0.1887,0.9803,0.998
2.595000,-0.0046,0.1882,0.9784,0.996
2.599000,-0.0012,0.1919,0.9737,0.992
2.604000,0.0030,0.1928,0.9684,0.987
2.610000,0.0003,0.1960,0.9672,0.987
2.614000,0.0015,0.1982,0.9706,0.991
2.618000,0.0023,0.1985,0.9694,0.989
2.623000,0.0030,0.2002,0.9750,0.995
2.629000,0.0006,0.2006,0.9818,1.002
2.634000,-0.0021,0.1999,0.9896,1.010
2.639000,-0.0046,0.1989,1.0001,1.020
2.644000,-0.0058,0.1948,1.0050,1.024
2.648000,-0.0051,0.1914,1.0094,1.027
2.653000,-0.0048,0.1877,1.0118,1.029
2.658000,-0.0048,0.1850,1.0162,1.033
2.665000,-0.0048,0.1855,1.0167,1.034
2.668000,-0.0046,0.1853,1.0204,1.037
2.673000,-0.0051,0.1884,1.0192,1.036
2.680000,-0.0034,0.1950,1.0172,1.036
2.682000,-0.0004,0.1948,1.0092,1.028
2.688000,0.0071,0.2004,1.0052,1.025
2.693000,0.0145,0.2014,1.0016,1.022
2.697000,0.0191,0.2063,0.9957,1.017
2.702000,0.0208,0.2099,0.9899,1.012
2.707000,0.0225,0.2094,0.9862,1.008
2.711000,0.0196,0.2151,0.9874,1.011
2.717000,0.0186,0.2141,0.9933,1.016
2.722000,0.0203,0.2151,1.0004,1.023
2.727000,0.0196,0.2131,1.0074,1.030
2.731000,0.0157,0.2119,1.0138,1.036
2.736000,0.0137,0.2048,1.0160,1.037
2.741000,0.0106,0.2011,1.0228,1.042
2.746000,0.0064,0.1970,1.0182,1.037
2.751000,0.0059,0.1906,1.0133,1.031
2.755000,0.0006,0.1892,1.0065,1.024
2.762000,-0.0034,0.1916,1.0057,1.024
2.766000,-0.0082,0.1994,1.0048,1.024
2.770000,-0.0114,0.2053,1.0033,1.024
2.776000,-0.0129,0.2070,1.0016,1.023
2.780000,-0.0107,0.2068,0.9977,1.019
