time,ax,ay,az,aT
0.0030,0.1627,-0.0550,-0.4552,0.486
0.0040,0.1385,-0.0883,-0.5912,0.614
0.0410,0.1368,-0.0889,-0.4381,0.467
0.0420,0.1536,-0.0936,-0.3225,0.369
0.0430,0.1294,-0.0775,-0.4184,0.445
0.0450,0.0866,-0.1160,-0.3999,0.425
0.0550,0.0860,-0.1336,-0.4770,0.503
0.0660,0.1077,-0.1697,-0.5154,0.553
0.0720,0.2060,-0.3012,-0.4006,0.542
0.0820,0.0567,-0.2992,-0.4579,0.550
0.0920,0.0977,-0.1644,-0.4385,0.478
0.1020,0.1182,-0.2602,-0.4574,0.539
0.1290,0.0237,-0.2032,-0.4379,0.483
0.1300,0.0822,-0.0894,-0.4758,0.491
0.1370,0.0642,-0.0720,-0.4752,0.485
0.1420,0.0840,-0.1133,-0.5702,0.587
0.1520,0.1413,-0.1361,-0.4545,0.495
0.1660,0.1404,-0.1769,-0.4732,0.524
0.1710,0.1203,-0.1568,-0.4736,0.513
0.1830,0.0999,-0.1922,-0.5319,0.574
0.1910,0.0989,-0.1325,-0.5134,0.539
0.2020,0.1549,-0.1310,-0.4566,0.500
0.2260,0.1722,-0.1684,-0.4762,0.534
0.2270,0.1133,-0.2254,-0.3616,0.441
0.2400,0.0933,-0.2445,-0.3426,0.431
0.2420,0.0743,-0.2819,-0.3811,0.480
0.2560,0.0753,-0.1475,-0.4768,0.505
0.2680,0.1164,-0.1671,-0.4762,0.518
0.2700,0.1010,-0.1690,-0.6093,0.640
0.2900,0.1230,-0.1523,-0.6083,0.639
0.2920,0.1434,-0.1543,-0.4161,0.466
0.3000,0.1237,-0.1172,-0.3967,0.432
0.3230,0.1224,-0.1738,-0.3971,0.450
0.3240,0.1213,-0.1892,-0.3599,0.424
0.3310,0.1015,-0.2422,-0.3993,0.478
0.3400,0.1204,-0.2005,-0.5342,0.583
0.3500,0.1029,-0.1613,-0.5533,0.585
0.3640,0.1052,-0.1823,-0.5908,0.627
0.3690,0.1067,-0.1469,-0.4750,0.508
0.3810,0.1067,-0.1293,-0.3788,0.414
0.3890,0.0487,-0.0712,-0.3599,0.370
0.4000,0.1249,-0.0684,-0.3798,0.406
0.4130,0.1257,-0.0458,-0.3996,0.421
0.4200,0.1647,-0.1759,-0.4003,0.467
0.4290,0.1843,-0.0964,-0.5350,0.574
0.4390,0.1463,0.0022,-0.5356,0.555
0.4630,0.1650,-0.0333,-0.4597,0.490
0.4640,0.1644,-0.1274,-0.4793,0.522
0.4680,0.1832,-0.1656,-0.5752,0.626
0.4790,0.1639,-0.0885,-0.4604,0.497
0.4890,0.1436,-0.0484,-0.4227,0.449
0.4990,0.1607,-0.0283,-0.3657,0.400
0.5090,0.1595,-0.1252,-0.3657,0.418
0.5240,0.1412,-0.1093,-0.4031,0.441
0.5300,0.1236,-0.1316,-0.4596,0.494
0.5380,0.1438,-0.0929,-0.4404,0.472
0.5510,0.1239,-0.1473,-0.3837,0.429
0.5580,0.1225,-0.1645,-0.4036,0.453
0.5670,0.1035,-0.1455,-0.4418,0.477
0.5780,0.1423,-0.1078,-0.5182,0.548
0.5870,0.1237,-0.1084,-0.5754,0.598
0.5970,0.1625,-0.1092,-0.5369,0.571
0.6070,0.1231,-0.0521,-0.4029,0.424
0.6170,0.0454,-0.1092,-0.4223,0.439
0.6270,0.0440,-0.1846,-0.3653,0.412
0.6400,0.1188,-0.0680,-0.3085,0.338
0.6460,0.2137,-0.1052,-0.3472,0.421
0.6570,0.1748,-0.1213,-0.4438,0.492
0.6660,0.1364,-0.1171,-0.5022,0.533
0.6770,0.1168,-0.2267,-0.4651,0.530
0.6920,0.1348,-0.2037,-0.4853,0.543
0.6960,0.1138,-0.1445,-0.4669,0.502
0.7070,0.1500,-0.1817,-0.4866,0.541
0.7160,0.0716,-0.1810,-0.4871,0.524
0.7260,-0.0066,-0.1783,-0.4304,0.466
0.7470,0.0290,-0.2698,-0.4701,0.543
0.7480,0.0446,-0.2093,-0.3756,0.432
0.7580,0.0227,-0.0938,-0.4528,0.463
0.7650,0.0202,-0.0555,-0.4531,0.457
0.7760,0.0173,-0.0164,-0.3772,0.378
0.7880,-0.0048,-0.0339,-0.3205,0.322
0.7950,0.0107,-0.0128,-0.3215,0.322
0.8050,0.0072,-0.1067,-0.2842,0.304
0.8150,0.0613,-0.0303,-0.3038,0.311
0.8290,0.1538,-0.0698,-0.3232,0.365
0.8410,0.1516,-0.1282,-0.3425,0.396
0.8450,0.2078,-0.1295,-0.4190,0.485
0.8550,0.1508,0.0012,-0.4374,0.463
0.8660,0.2092,-0.0037,-0.4745,0.519
0.8760,0.2296,-0.0661,-0.5690,0.617
0.8890,0.2313,-0.0316,-0.6061,0.650
0.8950,0.2522,0.0424,-0.5478,0.605
0.9040,0.2903,0.0233,-0.5479,0.620
0.9140,0.2685,-0.0335,-0.4526,0.527
0.9340,0.2858,-0.0729,-0.5102,0.589
0.9390,0.2469,-0.0951,-0.4521,0.524
0.9460,0.2660,-0.1746,-0.5089,0.600
0.9540,0.2659,-0.1753,-0.5088,0.600
0.9630,0.2287,-0.0981,-0.4321,0.499
0.9750,0.2299,-0.0786,-0.4129,0.479
0.9870,0.2693,-0.0025,-0.4126,0.493
0.9930,0.2516,-0.0804,-0.5270,0.589
1.0040,0.2342,-0.1387,-0.5457,0.610
1.0130,0.1791,-0.1955,-0.5455,0.607
1.0230,0.1816,-0.2511,-0.5455,0.627
1.0450,0.1271,-0.2490,-0.5264,0.596
1.0500,0.1686,-0.2091,-0.5645,0.625
1.0620,0.1913,-0.1886,-0.5834,0.642
1.0640,0.1182,-0.0915,-0.4874,0.510
1.0730,0.0450,-0.1657,-0.4874,0.517
1.0830,0.1032,-0.2002,-0.3923,0.452
1.0930,0.1026,-0.1784,-0.3547,0.410
1.1020,0.1024,-0.2144,-0.2978,0.381
1.1130,0.1406,-0.1161,-0.3367,0.383
1.1220,0.1032,-0.0933,-0.4139,0.437
1.1520,0.1238,-0.0328,-0.5101,0.526
1.1540,0.1253,-0.0323,-0.5483,0.563
1.1560,0.1840,-0.1284,-0.6055,0.646
1.1640,0.1459,-0.0528,-0.6627,0.681
1.1730,0.1077,-0.1111,-0.5859,0.606
1.1870,0.1264,-0.1707,-0.6047,0.641
1.1910,0.0695,-0.1140,-0.6236,0.638
1.2020,0.0512,-0.0383,-0.6232,0.626
1.2190,0.0135,-0.1118,-0.5855,0.596
1.2210,0.0137,-0.2050,-0.5286,0.567
1.2340,-0.0438,-0.2754,-0.4916,0.565
1.2400,-0.0820,-0.2888,-0.4354,0.529
1.2710,-0.1763,-0.2475,-0.3784,0.485
1.2730,-0.1738,-0.1887,-0.4357,0.506
1.2740,-0.1308,-0.1119,-0.4925,0.522
1.2820,-0.0855,-0.1854,-0.5687,0.604
1.2900,-0.0599,-0.2167,-0.5691,0.612
1.3000,-0.0547,-0.1512,-0.5317,0.556
1.3150,-0.0133,-0.0688,-0.3984,0.405
1.3230,0.0446,-0.0480,-0.3029,0.310
1.3300,0.0833,-0.0483,-0.2836,0.300
1.3390,0.1406,0.0468,-0.2835,0.320
1.3500,0.1805,-0.0277,-0.3412,0.387
1.3720,0.2207,-0.1199,-0.3991,0.472
1.3750,0.2997,-0.1721,-0.3424,0.487
1.3830,0.3393,-0.0154,-0.3812,0.511
1.3900,0.2439,0.0432,-0.3240,0.408
1.3990,0.2249,0.0615,-0.3812,0.447
1.4110,0.3395,-0.0542,-0.4002,0.528
1.4190,0.2639,-0.0545,-0.5149,0.581
1.4290,0.2657,-0.1107,-0.6107,0.675
1.4380,0.2106,-0.0894,-0.7448,0.779
1.4540,0.2125,-0.0478,-0.7261,0.758
1.4610,0.2320,-0.0634,-0.7268,0.766
1.4690,0.1933,-0.0230,-0.6315,0.661
