time,ax,ay,az,aT
0.0030,0.5203,0.0030,-0.9847,1.114
0.0030,0.4385,0.0559,-0.7285,0.852
0.0070,0.3445,0.1261,-0.3995,0.542
0.0120,0.2614,0.1600,-0.0284,0.308
0.0190,0.1782,0.1992,0.2558,0.370
0.0240,0.1298,0.1825,0.5016,0.549
0.0260,0.1109,0.1379,0.6685,0.692
0.0350,0.0496,0.1193,0.7330,0.744
0.0360,0.0367,0.1240,0.6810,0.693
0.0410,-0.0162,0.0993,0.5821,0.591
0.0480,-0.0513,0.1028,0.3646,0.382
0.0500,-0.0517,0.0538,0.1504,0.168
0.0550,-0.0506,0.0655,-0.1587,0.179
0.0610,-0.0691,0.0694,-0.4313,0.442
0.0650,-0.0592,0.0643,-0.6629,0.669
0.0690,-0.0275,0.0796,-0.7893,0.794
0.0750,0.0024,0.0726,-0.8203,0.824
0.0810,0.0423,0.0818,-0.8327,0.838
0.0840,0.0327,0.0670,-0.7762,0.780
0.0890,0.0025,0.0615,-0.6559,0.659
0.1010,-0.0221,0.0672,-0.5170,0.522
0.1020,-0.0531,0.0671,-0.3835,0.393
0.1040,-0.0713,0.0679,-0.1572,0.185
0.1090,-0.1181,0.0306,-0.0102,0.122
0.1220,-0.1696,0.0268,0.1749,0.245
0.1230,-0.2310,0.0249,0.2761,0.361
0.1250,-0.2523,-0.0283,0.3105,0.401
0.1280,-0.2527,-0.0564,0.3404,0.428
0.1340,-0.2443,-0.0593,0.3609,0.440
0.1380,-0.2199,-0.0969,0.3315,0.409
0.1440,-0.2012,-0.0567,0.2881,0.356
0.1480,-0.1904,-0.0793,0.2448,0.320
0.1530,-0.1515,-0.0619,0.1947,0.254
0.1580,-0.1392,-0.0447,0.1637,0.219
0.1630,-0.1220,-0.0395,0.1185,0.175
0.1680,-0.0900,-0.0603,0.0876,0.139
0.1720,-0.0741,-0.0665,0.0711,0.122
0.1780,-0.0838,-0.0701,0.0641,0.127
0.1820,-0.0880,-0.0705,0.0522,0.124
0.1880,-0.1035,-0.0897,0.0379,0.142
0.1920,-0.1326,-0.0486,0.0402,0.147
0.2020,-0.1586,-0.0525,0.0376,0.171
0.2030,-0.1462,-0.0682,0.0660,0.174
0.2070,-0.1169,-0.0814,0.0490,0.151
0.2130,-0.1355,-0.0657,0.0917,0.176
0.2180,-0.1328,-0.0479,0.1033,0.175
0.2220,-0.1231,-0.0352,0.1197,0.175
0.2260,-0.1279,-0.0277,0.0837,0.155
0.2330,-0.1019,-0.0110,0.1099,0.150
0.2360,-0.0595,0.0050,0.0813,0.101
0.2410,-0.0391,0.0062,0.0384,0.055
0.2470,-0.0261,0.0212,-0.0281,0.044
0.2520,-0.0133,0.0550,-0.0920,0.108
0.2560,0.0159,0.0672,-0.1296,0.147
0.2640,-0.0098,0.0866,-0.2507,0.265
0.2660,0.0077,0.0966,-0.2833,0.299
0.2710,0.0130,0.0711,-0.3159,0.324
0.2760,-0.0151,0.0867,-0.3678,0.378
0.2870,0.0024,0.0935,-0.3695,0.381
0.2880,-0.0183,0.0938,-0.3786,0.390
0.2920,-0.0245,0.0829,-0.3376,0.348
0.2970,-0.0449,0.0725,-0.2490,0.263
0.3010,-0.0316,0.0578,-0.2085,0.219
0.3160,-0.0374,0.0268,-0.1419,0.149
0.3220,-0.0504,0.0056,-0.0730,0.089
0.3220,-0.0683,0.0179,-0.0281,0.076
0.3220,-0.0842,-0.0250,0.0072,0.088
0.3240,-0.1050,0.0062,0.0639,0.123
0.3300,-0.1235,-0.0204,0.0705,0.144
0.3340,-0.0986,-0.0162,0.0790,0.127
0.3390,-0.0812,-0.0146,0.0970,0.127
0.3450,-0.0522,0.0008,0.1197,0.131
0.3500,-0.0356,0.0016,0.1114,0.117
0.3540,0.0116,0.0139,0.1103,0.112
0.3590,0.0487,0.0474,0.0761,0.102
0.3660,0.0831,0.0447,0.0778,0.122
0.3690,0.1027,0.0702,0.0463,0.133
0.3730,0.1196,0.0220,0.0483,0.131
0.3790,0.1104,0.0430,0.0147,0.119
0.3830,0.1180,0.0498,-0.0021,0.128
0.3880,0.0948,0.0282,-0.0235,0.102
0.3940,0.0741,0.0425,-0.0163,0.087
0.4050,0.0420,0.0263,0.0027,0.050
0.4060,0.0460,0.0529,0.0143,0.072
0.4090,0.0220,0.0154,0.0354,0.044
0.4130,0.0223,0.0021,0.0253,0.034
0.4300,0.0040,-0.0156,0.0129,0.021
0.4340,0.0075,-0.0095,0.0126,0.017
0.4350,0.0039,-0.0201,0.0217,0.030
0.4350,0.0022,0.0144,0.0450,0.047
0.4380,0.0334,0.0035,0.0634,0.072
0.4420,0.0235,0.0353,0.0508,0.066
0.4480,0.0392,0.0404,0.0786,0.097
0.4550,0.0546,0.0500,0.0589,0.095
0.4560,0.0934,0.0738,0.0677,0.137
0.4630,0.0820,0.0970,0.0624,0.142
0.4670,0.0826,0.0607,0.0428,0.111
0.4710,0.0812,0.0790,0.0330,0.118
0.4760,0.0493,0.0756,-0.0123,0.091
0.4820,0.0228,0.0936,-0.0406,0.105
0.4860,0.0157,0.0948,-0.0852,0.128
0.4910,0.0304,0.0936,-0.1295,0.163
0.4980,-0.0023,0.0950,-0.1900,0.212
0.5000,0.0175,0.0706,-0.2169,0.229
0.5120,0.0061,0.0633,-0.2200,0.229
0.5130,0.0090,0.0728,-0.2135,0.226
0.5160,0.0328,0.0706,-0.1716,0.188
0.5210,0.0154,0.0282,-0.1276,0.132
0.5250,0.0355,0.0197,-0.1103,0.118
0.5310,0.0312,0.0138,-0.0623,0.071
0.5350,0.0102,0.0106,-0.0242,0.028
0.5400,-0.0226,0.0336,0.0372,0.055
0.5450,-0.0452,0.0305,0.1052,0.119
0.5500,-0.0698,0.0227,0.1656,0.181
0.5540,-0.1150,-0.0160,0.1946,0.227
0.5600,-0.1333,-0.0166,0.2305,0.267
0.5660,-0.1558,-0.0151,0.2236,0.273
0.5700,-0.1848,-0.0282,0.2120,0.283
0.5750,-0.1753,-0.0320,0.1840,0.256
0.5800,-0.1850,-0.0458,0.1753,0.259
0.5840,-0.1736,-0.0480,0.1335,0.224
0.5890,-0.1438,-0.0624,0.0827,0.177
0.5950,-0.1407,-0.0294,0.0703,0.160
0.6050,-0.0953,-0.0372,0.0272,0.106
0.6060,-0.0626,-0.0402,0.0438,0.086
0.6100,-0.0306,-0.0503,-0.0015,0.059
0.6150,-0.0012,-0.0364,-0.0084,0.037
0.6200,0.0018,-0.0203,-0.0320,0.038
0.6370,0.0077,-0.0207,-0.0173,0.028
0.6430,0.0189,-0.0184,0.0089,0.028
0.6430,0.0232,-0.0064,-0.0030,0.024
0.6430,0.0254,-0.0016,-0.0148,0.029
0.6440,0.0019,0.0178,-0.0266,0.032
0.6490,-0.0139,0.0299,-0.0431,0.054
0.6530,-0.0343,0.0350,-0.0310,0.058
0.6580,-0.0119,0.0259,-0.0285,0.040
0.6630,0.0125,0.0238,-0.0141,0.030
0.6680,0.0244,0.0193,-0.0141,0.034
0.6720,0.0312,0.0147,-0.0070,0.035
0.6770,0.0114,0.0243,-0.0260,0.037
0.6880,0.0389,-0.0020,-0.0139,0.041
0.6890,0.0162,-0.0208,-0.0138,0.030
0.6930,0.0269,-0.0229,-0.0138,0.038
0.6970,0.0187,-0.0463,-0.0161,0.052
0.7030,-0.0034,-0.0173,-0.0516,0.055
0.7190,-0.0156,-0.0264,-0.0655,0.072
0.7200,-0.0159,-0.0091,-0.0674,0.070
0.7200,-0.0021,0.0177,-0.0196,0.026
0.7230,-0.0144,-0.0126,0.0041,0.020
0.7280,0.0090,0.0095,0.0490,0.051
0.7320,0.0368,0.0051,0.0794,0.088
0.7390,0.0527,-0.0044,0.0858,0.101
0.7430,0.0495,-0.0069,0.0733,0.089
0.7470,0.0581,0.0068,0.0372,0.069
0.7510,0.0501,0.0059,0.0062,0.051
0.7550,0.0304,0.0382,-0.0364,0.061
0.7600,0.0439,0.0108,-0.0833,0.095
0.7670,0.0526,0.0028,-0.1180,0.129
0.7700,0.0564,-0.0050,-0.1833,0.192
0.7750,0.0744,0.0043,-0.1913,0.205
0.7810,0.0780,-0.0310,-0.1755,0.195
0.7850,0.0650,-0.0278,-0.1528,0.168
0.7900,0.0546,-0.0264,-0.1257,0.140
0.7950,0.0206,-0.0223,-0.0918,0.097
0.8050,0.0104,-0.0156,-0.0820,0.084
0.8060,-0.0188,-0.0016,-0.0083,0.021
0.8100,-0.0359,-0.0255,0.0245,0.050
0.8170,-0.0767,-0.0207,0.0974,0.126
0.8220,-0.0837,-0.0208,0.1150,0.144
0.8240,-0.0809,-0.0164,0.1445,0.166
0.8310,-0.0684,-0.0242,0.2093,0.222
0.8350,-0.0678,-0.0228,0.2097,0.222
0.8390,-0.0481,-0.0172,0.2030,0.209
0.8440,-0.0357,-0.0502,0.2108,0.220
0.8500,-0.0186,-0.0360,0.1617,0.167
0.8540,-0.0325,-0.0437,0.0751,0.093
0.8590,-0.0201,-0.0518,0.0155,0.058
0.8650,-0.0056,-0.0385,-0.0317,0.050
0.8680,-0.0083,-0.0396,-0.0857,0.095
0.8730,-0.0232,-0.0359,-0.1773,0.182
0.8790,-0.0215,0.0087,-0.1899,0.191
0.8830,-0.0459,-0.0060,-0.2333,0.238
0.8880,0.0060,0.0038,-0.1840,0.184
0.8930,0.0006,-0.0119,-0.1755,0.176
0.9000,0.0050,-0.0175,-0.1388,0.140
0.9030,-0.0283,-0.0034,-0.0955,0.100
0.9080,-0.0492,-0.0104,-0.0312,0.059
0.9130,-0.0885,-0.0054,0.0706,0.113
0.9190,-0.0867,-0.0266,0.1216,0.152
0.9230,-0.0874,-0.0504,0.1605,0.190
0.9280,-0.0951,-0.0626,0.1493,0.188
0.9330,-0.0912,-0.0703,0.1644,0.201
0.9370,-0.0755,-0.0333,0.1106,0.138
0.9420,-0.0934,-0.0565,0.0788,0.135
0.9490,-0.0448,-0.0373,0.0450,0.074
0.9530,-0.0207,-0.0186,-0.0264,0.038
0.9570,0.0314,-0.0073,-0.0569,0.065
0.9620,0.0381,0.0205,-0.1345,0.141
0.9670,0.0494,0.0149,-0.1736,0.181
0.9730,0.0560,0.0096,-0.2290,0.236
0.9760,0.0747,0.0191,-0.2485,0.260
0.9830,0.0674,0.0385,-0.2703,0.281
0.9860,0.0317,0.0250,-0.2849,0.288
0.9910,0.0082,0.0527,-0.2757,0.281
0.9960,-0.0057,0.0355,-0.2597,0.262
1.0030,-0.0267,0.0237,-0.2250,0.228
1.0080,-0.0144,-0.0018,-0.1503,0.151
1.0110,0.0071,-0.0294,-0.0572,0.065
1.0220,-0.0170,-0.0470,0.0231,0.055
1.0230,-0.0172,-0.0649,0.0554,0.087
1.0250,-0.0009,-0.0781,0.1255,0.148
1.0380,-0.0178,-0.0703,0.1405,0.158
1.0390,-0.0060,-0.0748,0.1460,0.164
1.0410,-0.0228,-0.0607,0.1207,0.137
1.0450,-0.0607,-0.0280,0.1098,0.129
1.0500,-0.0745,-0.0265,0.0730,0.108
1.0560,-0.0856,-0.0463,0.0721,0.121
1.0600,-0.1082,-0.0400,0.0048,0.115
1.0660,-0.0949,-0.0124,-0.0239,0.099
1.0690,-0.0671,-0.0276,-0.0430,0.084
1.0740,-0.0490,-0.0071,-0.0453,0.067
1.0790,-0.0310,-0.0199,-0.0855,0.093
1.0860,-0.0041,-0.0111,-0.0994,0.100
1.0890,0.0341,0.0026,-0.0871,0.094
1.0940,0.0074,-0.0100,-0.0796,0.081
1.1020,0.0230,-0.0151,-0.0723,0.077
1.1030,0.0239,0.0157,-0.0390,0.048
1.1090,0.0343,-0.0223,0.0129,0.043
1.1130,0.0303,-0.0340,0.0787,0.091
1.1190,0.0124,-0.0478,0.0917,0.104
1.1230,-0.0212,-0.0425,0.1069,0.117
1.1280,-0.0611,-0.0326,0.1459,0.161
1.1340,-0.0929,-0.0279,0.1229,0.157
1.1380,-0.1264,-0.0233,0.1285,0.182
1.1430,-0.1193,-0.0330,0.1104,0.166
1.1490,-0.1315,-0.0404,0.1020,0.171
1.1530,-0.1083,-0.0526,0.0937,0.153
1.1580,-0.0763,-0.0317,0.0617,0.103
1.1620,-0.0568,-0.0206,0.0728,0.095
1.1680,-0.0212,0.0140,0.0315,0.041
1.1730,0.0023,0.0197,0.0215,0.029
1.1780,0.0065,0.0206,0.0259,0.034
1.1830,0.0297,0.0403,0.0183,0.053
1.1870,0.0337,0.0455,0.0061,0.057
1.1920,0.0711,0.0532,-0.0463,0.100
1.1970,0.0562,0.0705,-0.0652,0.111
1.2040,0.0795,0.0593,-0.0626,0.117
1.2070,0.0553,0.0819,-0.0411,0.107
1.2120,0.0408,0.0618,-0.0317,0.080
1.2220,0.0074,0.0611,0.0180,0.064
1.2230,-0.0420,0.0771,0.0814,0.120
1.2260,-0.0553,0.0740,0.1372,0.165
1.2370,-0.0874,0.0231,0.1688,0.192
1.2380,-0.1097,0.0245,0.1718,0.205
1.2410,-0.0961,-0.0098,0.1558,0.183
1.2460,-0.0994,-0.0087,0.1496,0.180
1.2500,-0.0981,-0.0149,0.1315,0.165
1.2550,-0.0780,-0.0024,0.1114,0.136
1.2600,-0.0916,0.0147,0.0890,0.129
1.2660,-0.0604,0.0006,0.0526,0.080
1.2700,-0.0534,-0.0063,0.0829,0.099
1.2750,-0.0085,-0.0060,0.0513,0.052
1.2800,0.0197,0.0158,0.0627,0.068
1.2860,0.0409,0.0209,0.0692,0.083
1.2900,0.0691,0.0093,0.0613,0.093
1.2950,0.0617,0.0051,0.0584,0.085
1.3050,0.0214,0.0246,0.0506,0.060
1.3060,0.0031,0.0063,0.0429,0.043
1.3120,-0.0551,0.0238,0.0566,0.083
1.3140,-0.0725,0.0199,0.0631,0.098
1.3210,-0.0801,0.0136,0.0790,0.113
1.3240,-0.0853,0.0141,0.0711,0.112
1.3290,-0.0596,-0.0070,0.0538,0.081
1.3370,-0.0485,0.0145,0.0296,0.059
1.3390,-0.0117,0.0238,-0.0038,0.027
1.3430,0.0292,-0.0074,-0.0369,0.048
1.3500,0.0385,0.0183,-0.0318,0.053
1.3540,0.0616,0.0225,-0.0528,0.084
1.3580,0.0962,0.0147,-0.0546,0.112
1.3630,0.1423,0.0093,-0.0469,0.150
1.3680,0.1715,0.0039,-0.0393,0.176
1.3730,0.1532,0.0036,-0.0603,0.165
1.3780,0.1303,-0.0060,-0.0527,0.141
1.3870,0.0699,-0.0200,-0.0760,0.105
1.3890,0.0411,-0.0029,-0.0445,0.061
1.3940,0.0105,-0.0024,-0.0490,0.050
1.3980,-0.0314,-0.0302,-0.0274,0.051
1.4100,-0.0300,-0.0268,-0.0154,0.043
1.4110,-0.0237,-0.0209,-0.0392,0.050
1.4130,-0.0268,-0.0460,-0.0272,0.060
1.4180,-0.0204,-0.0614,-0.0342,0.073
1.4270,-0.0356,-0.0437,-0.0245,0.061
1.4280,-0.0391,-0.0168,-0.0624,0.075
1.4320,-0.0097,-0.0187,-0.0880,0.090
1.4370,0.0094,-0.0087,-0.1277,0.128
1.4420,0.0446,-0.0181,-0.1195,0.129
1.4480,0.0577,-0.0179,-0.1731,0.183
1.4520,0.0727,-0.0125,-0.2074,0.220
1.4570,0.0779,-0.0211,-0.2343,0.248
1.4620,0.1046,0.0300,-0.2327,0.257
1.4670,0.0816,0.0147,-0.2335,0.248
1.4710,0.0829,0.0475,-0.1988,0.221
1.4760,0.1083,0.0208,-0.1430,0.181
1.4810,0.0627,0.0280,-0.1353,0.152
1.4860,0.0747,0.0117,-0.1063,0.130
1.4910,0.0345,-0.0068,-0.0704,0.079
1.4950,0.0517,0.0153,-0.0278,0.061
1.5050,0.0020,-0.0031,-0.0235,0.024
1.5070,-0.0167,0.0189,0.0354,0.043
1.5100,-0.0286,0.0216,0.0392,0.053
1.5150,-0.0312,0.0171,0.0905,0.097
1.5240,-0.0575,0.0122,0.0892,0.107
