time,wx,wy,wz
0.002,0.02,0.09,-0.07
0.002,0.03,0.10,-0.06
0.010,0.05,0.10,-0.06
0.010,0.07,0.10,-0.05
0.013,0.08,0.10,-0.05
0.018,0.09,0.09,-0.04
0.021,0.11,0.08,-0.04
0.025,0.12,0.06,-0.03
0.030,0.14,0.06,-0.03
0.033,0.15,0.06,-0.03
0.037,0.15,0.06,-0.03
0.041,0.15,0.06,-0.04
0.045,0.15,0.06,-0.04
0.049,0.15,0.06,-0.04
0.053,0.14,0.03,-0.04
0.058,0.12,-0.02,-0.02
0.061,0.11,-0.05,-0.01
0.065,0.10,-0.04,0.00
0.069,0.09,-0.02,0.00
0.073,0.07,-0.01,-0.00
0.077,0.03,-0.03,-0.00
0.080,-0.00,-0.07,0.00
0.084,-0.05,-0.02,0.00
0.090,-0.08,0.02,-0.01
0.094,-0.11,0.02,-0.02
0.096,-0.14,0.01,-0.02
0.100,-0.13,-0.01,-0.01
0.104,-0.12,-0.02,-0.02
0.110,-0.11,-0.03,-0.02
0.112,-0.09,-0.05,-0.03
0.116,-0.07,-0.04,-0.03
0.120,-0.04,-0.03,-0.04
0.124,-0.01,-0.02,-0.04
0.128,0.01,-0.00,-0.04
0.132,0.03,0.01,-0.04
0.136,0.05,0.01,-0.04
0.140,0.07,-0.01,-0.04
0.144,0.06,-0.02,-0.03
0.148,0.06,-0.03,-0.02
0.152,0.06,-0.03,-0.01
0.155,0.05,-0.02,-0.01
0.160,0.04,-0.01,0.00
0.164,0.02,-0.00,0.01
0.167,0.01,0.00,0.01
0.172,-0.01,0.01,0.02
0.176,-0.02,0.01,0.03
0.179,-0.03,0.01,0.03
0.183,-0.03,0.01,0.03
0.187,-0.04,0.01,0.03
0.191,-0.03,0.00,0.03
0.195,-0.03,0.01,0.03
0.199,-0.02,0.01,0.02
0.203,-0.02,0.00,0.02
0.207,-0.01,-0.00,0.00
0.211,0.00,-0.00,-0.00
0.215,0.00,-0.01,-0.01
0.219,0.01,-0.01,-0.01
0.224,0.01,-0.01,-0.02
0.226,0.01,-0.01,-0.02
0.231,0.01,-0.02,-0.03
0.234,0.01,-0.01,-0.03
0.238,0.00,-0.01,-0.03
0.243,-0.00,-0.01,-0.03
0.246,-0.01,-0.02,-0.03
0.250,-0.01,-0.02,-0.03
0.254,-0.01,-0.02,-0.02
0.258,-0.02,-0.02,-0.02
0.263,-0.02,-0.01,-0.01
0.266,-0.02,-0.01,-0.01
0.270,-0.02,-0.01,-0.00
0.275,-0.02,-0.01,0.00
0.278,-0.02,-0.01,0.01
0.281,-0.02,0.00,0.02
0.286,-0.01,0.01,0.03
0.290,0.00,0.01,0.03
0.294,0.01,0.01,0.04
0.298,0.01,0.02,0.04
0.302,0.01,0.02,0.04
0.305,0.01,0.03,0.04
0.309,0.01,0.02,0.04
0.314,0.02,0.02,0.03
0.317,0.02,0.02,0.03
0.321,0.02,0.02,0.02
0.325,0.02,0.01,0.02
0.329,0.01,0.01,0.01
0.333,0.02,0.01,0.00
0.338,0.02,0.01,-0.00
0.343,0.02,0.00,-0.01
