time,gFx,gFy,gFz,TgF
0.002000,0.0934,0.9977,0.0768,1.005
0.003000,0.1215,0.9911,0.0810,1.002
0.003000,0.1388,0.9982,0.0803,1.011
0.010000,0.1288,0.9880,0.0891,1.000
0.012000,0.1254,0.9975,0.1208,1.013
0.017000,0.1156,0.9909,0.0842,1.001
0.028000,0.1102,0.9914,0.0825,1.001
0.029000,0.1127,0.9931,0.0678,1.002
0.032000,0.1114,0.9941,0.0558,1.002
0.037000,0.1202,0.9931,0.0622,1.002
0.041000,0.1383,0.9890,0.0761,1.001
0.047000,0.1539,0.9899,0.0910,1.006
0.051000,0.1605,0.9860,0.0920,1.003
0.063000,0.1522,0.9897,0.0939,1.006
0.064000,0.1302,0.9926,0.0839,1.005
0.066000,0.1283,0.9933,0.0798,1.005
0.071000,0.1246,0.9951,0.0737,1.006
0.077000,0.1232,0.9941,0.0739,1.004
0.080000,0.1254,0.9919,0.0722,1.002
0.085000,0.1258,0.9914,0.0786,1.002
0.101000,0.1254,0.9943,0.0832,1.006
0.101000,0.1339,0.9902,0.0869,1.003
0.101000,0.1376,0.9933,0.0886,1.007
0.114000,0.1454,0.9916,0.0976,1.007
0.115000,0.1171,0.9943,0.0883,1.005
0.115000,0.1171,0.9924,0.0839,1.003
0.120000,0.1185,0.9924,0.0842,1.003
0.127000,0.1185,0.9929,0.0764,1.003
0.129000,0.1280,0.9963,0.0746,1.007
0.135000,0.1324,0.9919,0.0800,1.004
0.140000,0.1334,0.9943,0.0834,1.007
0.144000,0.1344,0.9924,0.0878,1.005
0.149000,0.1339,0.9931,0.0881,1.006
0.155000,0.1307,0.9924,0.0895,1.005
0.160000,0.1285,0.9931,0.0861,1.005
0.164000,0.1285,0.9936,0.0839,1.005
0.169000,0.1254,0.9929,0.0851,1.004
0.181000,0.1256,0.9931,0.0825,1.004
0.182000,0.1180,0.9933,0.0844,1.004
0.184000,0.1173,0.9933,0.0886,1.004
0.189000,0.1193,0.9924,0.0895,1.004
0.238000,0.1215,0.9924,0.0908,1.004
0.239000,0.1256,0.9926,0.0869,1.004
0.239000,0.1288,0.9948,0.0832,1.007
0.239000,0.1317,0.9911,0.0793,1.003
0.240000,0.1278,0.9933,0.0786,1.005
0.240000,0.1278,0.9943,0.0751,1.005
0.240000,0.1307,0.9929,0.0751,1.004
0.240000,0.1332,0.9929,0.0759,1.005
0.241000,0.1290,0.9929,0.0805,1.004
0.241000,0.1222,0.9933,0.0859,1.005
0.242000,0.1212,0.9943,0.0859,1.005
0.247000,0.1217,0.9941,0.0842,1.005
0.252000,0.1290,0.9941,0.0856,1.006
