time,wx,wy,wz
0.718,0.01,0.04,0.02
0.722,0.01,0.04,0.02
0.726,0.01,0.02,0.02
0.729,0.00,0.01,0.03
0.734,0.00,0.02,0.04
0.737,0.01,0.04,0.05
0.741,0.00,0.06,0.06
0.745,0.00,0.06,0.07
0.749,0.00,0.05,0.08
0.753,-0.01,0.03,0.09
0.757,-0.02,0.03,0.09
0.761,-0.02,0.05,0.10
0.765,-0.02,0.07,0.10
0.769,-0.02,0.07,0.10
0.773,-0.03,0.06,0.10
0.777,-0.04,0.04,0.10
0.781,-0.04,0.04,0.10
0.785,-0.04,0.05,0.10
0.789,-0.03,0.07,0.09
0.793,-0.03,0.08,0.09
0.797,-0.02,0.08,0.08
0.801,-0.02,0.06,0.08
0.804,-0.02,0.05,0.07
0.808,-0.02,0.06,0.07
0.813,-0.02,0.07,0.07
0.816,-0.01,0.07,0.07
0.820,-0.01,0.06,0.07
0.824,-0.02,0.04,0.07
0.829,-0.01,0.04,0.06
0.832,-0.01,0.05,0.06
0.836,-0.01,0.06,0.06
0.840,-0.01,0.06,0.06
0.844,-0.01,0.04,0.06
0.848,-0.02,0.03,0.05
0.852,-0.02,0.03,0.06
0.855,-0.03,0.04,0.06
0.860,-0.02,0.05,0.06
0.864,-0.02,0.04,0.06
0.867,-0.03,0.03,0.06
0.872,-0.03,0.02,0.06
0.878,-0.02,0.03,0.06
0.879,-0.02,0.04,0.07
0.884,-0.01,0.04,0.06
0.888,-0.01,0.04,0.06
0.891,-0.01,0.03,0.06
0.895,-0.01,0.03,0.05
0.899,-0.01,0.03,0.04
0.903,-0.01,0.04,0.03
0.907,-0.01,0.04,0.01
0.911,-0.01,0.03,-0.00
0.915,-0.01,0.02,-0.01
0.919,-0.01,0.02,-0.02
0.923,-0.01,0.02,-0.03
0.927,-0.00,0.03,-0.04
0.931,-0.00,0.03,-0.05
0.935,0.00,0.02,-0.05
0.939,0.00,0.02,-0.06
0.943,0.00,0.02,-0.06
0.947,0.01,0.02,-0.06
0.950,0.01,0.03,-0.06
0.954,0.01,0.03,-0.06
0.958,0.01,0.02,-0.06
0.962,0.01,0.02,-0.05
0.966,0.00,0.03,-0.05
0.970,0.00,0.03,-0.04
0.974,0.00,0.04,-0.04
0.978,-0.00,0.04,-0.03
0.982,-0.01,0.03,-0.03
0.986,-0.02,0.04,-0.04
0.991,-0.01,0.05,-0.03
0.995,-0.01,0.05,-0.02
1.002,0.00,0.04,-0.02
1.003,0.01,0.03,-0.02
1.007,0.01,0.02,-0.02
1.011,0.01,0.03,-0.03
1.015,0.01,0.04,-0.03
1.018,0.00,0.05,-0.03
1.022,-0.00,0.05,-0.03
1.028,0.00,0.04,-0.03
1.030,0.00,0.04,-0.02
1.034,0.01,0.03,-0.02
1.037,0.01,0.03,-0.02
1.042,0.00,0.03,-0.02
1.046,0.00,0.02,-0.02
1.050,0.00,0.02,-0.02
1.053,0.00,0.03,-0.02
1.058,0.00,0.03,-0.02
1.062,0.00,0.03,-0.02
1.066,0.01,0.03,-0.02
1.070,0.01,0.02,-0.02
1.074,0.01,0.02,-0.02
1.081,0.01,0.02,-0.02
1.081,-0.00,0.02,-0.02
1.086,-0.00,0.02,-0.02
1.091,-0.00,0.02,-0.01
1.096,-0.01,0.01,-0.01
1.098,0.00,0.01,-0.00
1.102,0.01,0.02,0.00
1.105,0.01,0.03,0.00
1.109,0.02,0.03,0.01
