time,gFx,gFy,gFz,TgF
0.646000,0.1251,0.9919,0.1022,1.005
0.651000,0.1246,0.9904,0.1022,1.003
0.655000,0.1246,0.9909,0.1022,1.004
0.670000,0.1246,0.9916,0.1017,1.005
0.670000,0.1236,0.9916,0.1003,1.004
0.671000,0.1234,0.9904,0.1020,1.003
0.675000,0.1236,0.9911,0.0998,1.004
0.683000,0.1251,0.9938,0.0986,1.007
0.685000,0.1261,0.9933,0.0988,1.006
0.690000,0.1285,0.9933,0.1010,1.007
0.696000,0.1295,0.9911,0.1025,1.005
0.699000,0.1263,0.9921,0.0988,1.005
0.704000,0.1266,0.9926,0.1035,1.006
0.709000,0.1271,0.9899,0.1047,1.004
0.714000,0.1244,0.9909,0.1022,1.004
0.719000,0.1261,0.9921,0.1030,1.005
0.724000,0.1241,0.9919,0.1015,1.005
0.729000,0.1249,0.9919,0.1008,1.005
0.733000,0.1258,0.9931,0.0998,1.006
0.739000,0.1261,0.9890,0.1010,1.002
0.744000,0.1222,0.9943,0.1017,1.007
0.750000,0.1227,0.9909,0.1032,1.004
0.753000,0.1205,0.9926,0.1054,1.005
0.758000,0.1236,0.9907,0.1013,1.003
0.763000,0.1256,0.9897,0.1027,1.003
0.768000,0.1244,0.9931,0.1010,1.006
0.773000,0.1229,0.9916,0.1017,1.004
0.779000,0.1234,0.9892,0.1022,1.002
0.783000,0.1251,0.9921,0.1037,1.005
0.787000,0.1256,0.9929,0.1037,1.006
0.792000,0.1258,0.9924,0.1042,1.006
0.797000,0.1234,0.9904,0.1054,1.004
0.802000,0.1239,0.9933,0.1047,1.007
0.808000,0.1256,0.9911,0.1027,1.004
0.812000,0.1244,0.9919,0.1013,1.005
0.818000,0.1246,0.9921,0.0978,1.005
0.822000,0.1256,0.9929,0.0981,1.006
0.827000,0.1246,0.9914,0.1008,1.004
0.832000,0.1244,0.9909,0.1022,1.004
0.837000,0.1239,0.9909,0.1035,1.004
0.842000,0.1261,0.9914,0.1042,1.005
0.846000,0.1256,0.9921,0.1047,1.006
0.852000,0.1261,0.9902,0.0998,1.003
0.856000,0.1219,0.9916,0.1020,1.004
0.870000,0.1232,0.9914,0.1020,1.004
0.871000,0.1219,0.9921,0.1064,1.005
0.871000,0.1224,0.9911,0.1059,1.004
0.876000,0.1241,0.9909,0.1030,1.004
0.888000,0.1249,0.9916,0.0998,1.004
0.889000,0.1236,0.9914,0.0996,1.004
0.890000,0.1263,0.9899,0.0952,1.002
0.896000,0.1239,0.9914,0.0996,1.004
0.902000,0.1246,0.9916,0.1030,1.005
0.905000,0.1229,0.9916,0.1081,1.005
0.911000,0.1212,0.9909,0.1125,1.005
0.915000,0.1217,0.9929,0.1120,1.007
0.920000,0.1212,0.9921,0.1110,1.006
0.925000,0.1200,0.9914,0.1071,1.004
0.929000,0.1173,0.9904,0.1027,1.003
0.934000,0.1178,0.9943,0.1037,1.007
0.940000,0.1200,0.9914,0.1025,1.004
0.944000,0.1205,0.9929,0.1027,1.005
0.950000,0.1263,0.9919,0.1008,1.005
0.955000,0.1288,0.9911,0.1015,1.005
0.959000,0.1280,0.9921,0.1013,1.005
0.964000,0.1293,0.9914,0.1003,1.005
0.969000,0.1273,0.9919,0.0981,1.005
0.974000,0.1273,0.9936,0.0983,1.007
0.979000,0.1256,0.9921,0.1003,1.005
0.984000,0.1266,0.9916,0.1039,1.005
0.989000,0.1254,0.9936,0.1049,1.007
0.994000,0.1217,0.9933,0.1105,1.007
1.000000,0.1268,0.9892,0.1105,1.003
1.003000,0.1210,0.9904,0.1108,1.004
1.008000,0.1185,0.9924,0.1074,1.005
1.013000,0.1178,0.9921,0.1037,1.004
1.018000,0.1058,0.9965,0.0971,1.007
1.023000,0.1256,0.9909,0.1030,1.004
1.028000,0.1405,0.9890,0.0920,1.003
1.033000,0.1185,0.9936,0.0981,1.005
1.038000,0.1202,0.9911,0.1110,1.005
1.043000,0.1210,0.9909,0.1054,1.004
1.048000,0.1219,0.9941,0.0983,1.006
1.053000,0.1359,0.9919,0.0981,1.006
1.057000,0.1302,0.9914,0.1027,1.005
1.064000,0.1246,0.9929,0.1069,1.006
1.067000,0.1246,0.9911,0.1098,1.005
1.072000,0.1249,0.9943,0.1047,1.008
1.078000,0.1254,0.9914,0.1005,1.004
1.082000,0.1278,0.9914,0.1025,1.005
1.087000,0.1317,0.9904,0.1022,1.004
1.092000,0.1283,0.9907,0.1061,1.005
1.096000,0.1273,0.9914,0.1037,1.005
1.102000,0.1261,0.9916,0.0998,1.005
1.106000,0.1263,0.9921,0.1000,1.005
1.111000,0.1271,0.9933,0.1000,1.006
1.117000,0.1276,0.9916,0.1003,1.005
1.121000,0.1293,0.9919,0.1017,1.005
1.126000,0.1280,0.9914,0.1030,1.005
1.132000,0.1273,0.9904,0.1005,1.004
1.136000,0.1261,0.9914,0.1037,1.005
1.141000,0.1222,0.9926,0.1088,1.006
1.146000,0.1219,0.9924,0.1076,1.006
1.151000,0.1227,0.9916,0.1076,1.005
1.155000,0.1249,0.9899,0.1017,1.003
1.160000,0.1229,0.9929,0.0993,1.005
1.167000,0.1227,0.9931,0.0986,1.005
1.173000,0.1224,0.9929,0.0986,1.005
1.176000,0.1227,0.9897,0.0969,1.002
1.182000,0.1224,0.9921,0.1013,1.005
1.186000,0.1236,0.9929,0.1049,1.006
1.190000,0.1224,0.9911,0.1064,1.004
1.195000,0.1210,0.9904,0.1079,1.004
1.200000,0.1215,0.9933,0.1052,1.006
1.205000,0.1183,0.9924,0.1025,1.005
1.210000,0.1197,0.9885,0.1025,1.001
1.215000,0.1229,0.9902,0.1030,1.003
1.219000,0.1219,0.9941,0.1049,1.007
1.225000,0.1232,0.9909,0.1044,1.004
1.229000,0.1239,0.9909,0.1025,1.004
1.234000,0.1232,0.9926,0.1047,1.006
1.239000,0.1232,0.9911,0.1017,1.004
1.247000,0.1229,0.9919,0.1020,1.005
1.249000,0.1210,0.9924,0.1030,1.005
1.253000,0.1241,0.9933,0.1035,1.006
1.258000,0.1256,0.9921,0.1074,1.006
1.263000,0.1266,0.9924,0.1047,1.006
1.268000,0.1249,0.9924,0.1061,1.006
1.273000,0.1256,0.9924,0.1047,1.006
1.280000,0.1266,0.9899,0.1052,1.004
1.284000,0.1251,0.9936,0.1000,1.006
1.288000,0.1241,0.9919,0.1013,1.005
1.293000,0.1219,0.9931,0.1013,1.006
1.299000,0.1258,0.9936,0.0991,1.006
1.303000,0.1258,0.9943,0.0991,1.007
1.308000,0.1236,0.9919,0.1027,1.005
1.313000,0.1254,0.9904,0.1035,1.004
1.321000,0.1222,0.9933,0.1059,1.006
1.322000,0.1241,0.9907,0.1010,1.004
1.328000,0.1232,0.9911,0.1015,1.004
1.335000,0.1261,0.9919,0.1022,1.005
1.337000,0.1266,0.9907,0.1003,1.004
1.342000,0.1212,0.9897,0.1025,1.002
1.347000,0.1200,0.9909,0.1032,1.003
1.352000,0.1224,0.9941,0.1052,1.007
1.357000,0.1251,0.9904,0.1027,1.004
1.367000,0.1251,0.9924,0.1005,1.005
1.368000,0.1251,0.9941,0.0969,1.007
1.373000,0.1232,0.9926,0.0986,1.005
1.377000,0.1219,0.9938,0.0996,1.006
1.381000,0.1222,0.9938,0.1020,1.006
1.386000,0.1239,0.9936,0.1047,1.007
1.391000,0.1273,0.9924,0.1054,1.006
1.397000,0.1280,0.9946,0.1064,1.008
1.401000,0.1273,0.9931,0.1076,1.007
1.407000,0.1241,0.9897,0.1079,1.003
1.411000,0.1227,0.9919,0.1074,1.005
1.415000,0.1266,0.9921,0.1032,1.005
1.421000,0.1251,0.9936,0.0996,1.006
1.425000,0.1246,0.9924,0.0991,1.005
1.430000,0.1244,0.9916,0.0983,1.004
1.435000,0.1249,0.9902,0.1010,1.003
1.440000,0.1234,0.9907,0.1017,1.003
1.446000,0.1224,0.9902,0.1047,1.003
1.450000,0.1234,0.9911,0.1025,1.004
1.454000,0.1215,0.9916,0.1081,1.005
1.460000,0.1244,0.9943,0.1042,1.007
1.466000,0.1222,0.9921,0.1069,1.005
1.470000,0.1229,0.9924,0.1071,1.006
1.474000,0.1197,0.9924,0.1076,1.005
1.479000,0.1205,0.9924,0.1076,1.005
1.484000,0.1224,0.9907,0.1061,1.004
1.489000,0.1232,0.9931,0.1027,1.006
1.494000,0.1249,0.9914,0.0983,1.004
1.498000,0.1251,0.9916,0.0983,1.004
1.504000,0.1263,0.9921,0.1003,1.005
1.509000,0.1229,0.9931,0.1039,1.006
1.513000,0.1246,0.9911,0.1015,1.004
1.519000,0.1276,0.9916,0.1035,1.005
1.523000,0.1261,0.9919,0.1008,1.005
1.529000,0.1276,0.9899,0.1025,1.003
1.534000,0.1278,0.9921,0.1030,1.006
1.538000,0.1285,0.9924,0.1052,1.006
1.543000,0.1278,0.9909,0.1039,1.005
1.548000,0.1271,0.9931,0.1042,1.007
1.553000,0.1261,0.9931,0.1035,1.006
1.558000,0.1305,0.9911,0.1044,1.005
1.567000,0.1312,0.9897,0.1010,1.003
1.568000,0.1276,0.9931,0.0981,1.006
1.572000,0.1236,0.9911,0.0959,1.003
1.577000,0.1234,0.9916,0.1000,1.004
1.587000,0.1251,0.9909,0.1000,1.004
1.588000,0.1249,0.9926,0.1010,1.006
1.592000,0.1266,0.9911,0.1035,1.005
1.598000,0.1229,0.9919,0.1027,1.005
1.602000,0.1185,0.9916,0.1015,1.004
1.608000,0.1200,0.9936,0.0996,1.006
1.612000,0.1229,0.9914,0.1025,1.004
1.617000,0.1239,0.9929,0.1037,1.006
1.622000,0.1273,0.9919,0.1064,1.006
1.627000,0.1227,0.9919,0.1069,1.005
1.631000,0.1222,0.9931,0.1088,1.006
1.636000,0.1217,0.9933,0.1074,1.007
1.642000,0.1244,0.9926,0.1032,1.006
1.649000,0.1258,0.9904,0.1015,1.004
1.651000,0.1251,0.9902,0.1013,1.003
1.656000,0.1261,0.9916,0.1025,1.005
1.661000,0.1224,0.9926,0.1027,1.005
1.666000,0.1234,0.9914,0.1022,1.004
1.671000,0.1249,0.9899,0.1022,1.003
1.675000,0.1285,0.9899,0.1032,1.004
1.681000,0.1254,0.9924,0.1044,1.006
1.685000,0.1236,0.9924,0.1054,1.006
1.691000,0.1227,0.9921,0.1057,1.005
1.696000,0.1236,0.9946,0.1066,1.008
1.700000,0.1261,0.9926,0.1079,1.006
1.705000,0.1251,0.9929,0.1052,1.006
1.710000,0.1276,0.9921,0.1071,1.006
1.715000,0.1278,0.9924,0.1039,1.006
1.720000,0.1278,0.9926,0.1020,1.006
1.725000,0.1288,0.9902,0.0986,1.003
1.732000,0.1276,0.9926,0.1000,1.006
1.735000,0.1278,0.9929,0.1000,1.006
1.740000,0.1241,0.9907,0.1030,1.004
1.744000,0.1193,0.9921,0.1005,1.004
1.750000,0.1278,0.9924,0.0983,1.005
1.755000,0.1273,0.9914,0.0983,1.004
1.760000,0.1193,0.9916,0.1010,1.004
1.765000,0.1244,0.9907,0.1035,1.004
1.769000,0.1219,0.9909,0.1083,1.004
1.776000,0.1224,0.9914,0.1071,1.005
1.781000,0.1212,0.9936,0.1049,1.006
1.787000,0.1188,0.9926,0.1010,1.005
1.789000,0.1256,0.9902,0.1015,1.003
1.795000,0.1261,0.9914,0.1003,1.004
1.798000,0.1258,0.9933,0.0993,1.006
1.804000,0.1273,0.9916,0.1013,1.005
1.809000,0.1278,0.9924,0.1005,1.006
1.814000,0.1261,0.9916,0.1022,1.005
1.818000,0.1271,0.9926,0.1025,1.006
1.823000,0.1278,0.9929,0.1059,1.007
1.828000,0.1268,0.9904,0.1030,1.004
