time,wx,wy,wz
0.230,0.00,0.02,0.02
0.233,0.00,0.01,0.01
0.237,0.00,0.01,0.01
0.241,0.01,0.00,0.00
0.245,0.01,0.00,-0.00
0.250,0.00,0.00,-0.01
0.253,0.00,0.00,-0.01
0.257,-0.00,0.00,-0.02
0.262,-0.00,0.00,-0.02
0.265,-0.00,-0.00,-0.02
0.269,-0.00,0.00,-0.02
0.273,-0.01,-0.00,-0.02
0.280,-0.00,-0.00,-0.02
0.280,-0.00,-0.00,-0.02
0.285,-0.00,-0.00,-0.02
0.289,-0.00,-0.00,-0.01
0.293,-0.00,-0.00,-0.01
0.297,0.00,-0.00,-0.00
0.300,0.00,0.00,0.00
0.304,0.00,0.00,0.01
0.309,0.00,0.01,0.02
0.312,-0.00,0.01,0.03
0.317,0.00,0.01,0.03
0.321,-0.00,0.02,0.04
0.324,-0.00,0.02,0.04
0.328,-0.00,0.02,0.04
0.333,0.00,0.02,0.04
0.336,0.00,0.02,0.04
0.340,-0.00,0.02,0.04
0.345,-0.01,0.03,0.03
0.348,-0.02,0.03,0.03
0.352,-0.01,0.02,0.02
0.356,0.00,0.01,0.00
0.360,0.00,0.00,-0.01
0.364,0.00,0.01,-0.01
0.368,-0.00,0.01,-0.02
0.372,-0.01,0.02,-0.02
0.376,-0.02,0.01,-0.03
0.381,-0.01,0.00,-0.03
0.384,-0.01,-0.01,-0.03
0.388,-0.01,-0.01,-0.03
0.392,-0.01,-0.00,-0.03
0.395,-0.01,0.00,-0.03
0.400,-0.01,0.00,-0.02
0.404,-0.01,-0.00,-0.02
0.407,-0.02,-0.00,-0.02
0.411,-0.01,-0.00,-0.01
0.416,-0.01,0.00,-0.01
0.419,-0.01,0.01,-0.00
0.423,-0.01,0.02,0.00
0.428,-0.01,0.02,0.00
0.431,-0.01,0.02,0.00
0.435,-0.01,0.01,0.00
0.439,-0.02,0.02,0.00
0.443,-0.01,0.02,0.01
0.447,-0.02,0.00,0.01
0.451,-0.01,0.01,0.01
0.455,-0.01,0.02,0.00
0.459,-0.00,0.01,-0.00
0.463,-0.00,-0.00,-0.01
0.466,-0.00,-0.01,-0.01
0.470,-0.00,-0.01,-0.01
0.474,-0.00,-0.01,-0.01
0.480,0.00,-0.01,-0.01
0.482,-0.00,-0.00,-0.00
0.487,-0.01,0.00,0.00
0.490,-0.01,0.01,0.01
0.495,-0.02,0.01,0.01
0.498,-0.02,0.01,0.01
0.502,-0.02,0.01,0.02
0.506,-0.03,0.01,0.02
0.510,-0.03,0.01,0.01
0.514,-0.03,0.01,0.00
0.517,-0.03,0.01,-0.00
0.522,-0.03,0.01,-0.01
0.525,-0.02,0.01,-0.01
0.530,-0.02,0.01,-0.02
0.534,-0.01,0.00,-0.01
0.537,-0.01,0.00,-0.01
0.541,-0.01,0.00,-0.01
0.546,-0.01,0.00,-0.00
0.550,-0.00,0.01,0.00
0.553,-0.01,0.01,0.01
0.558,-0.01,0.01,0.02
0.562,-0.00,0.02,0.02
0.566,-0.00,0.03,0.03
0.570,-0.01,0.03,0.03
0.573,-0.02,0.03,0.04
0.580,-0.03,0.04,0.05
0.582,-0.03,0.04,0.05
0.585,-0.03,0.03,0.05
0.589,-0.03,0.03,0.05
0.593,-0.02,0.03,0.04
0.597,-0.01,0.03,0.03
0.601,-0.01,0.02,0.02
0.605,-0.01,0.02,0.02
0.609,-0.01,0.01,0.01
0.613,-0.01,0.01,0.01
0.617,-0.01,0.00,0.01
0.620,-0.01,0.01,0.01
0.624,-0.01,0.02,0.01
0.629,-0.01,0.02,0.02
0.632,-0.01,0.03,0.03
0.636,-0.01,0.03,0.04
0.640,-0.00,0.02,0.05
0.644,-0.00,0.03,0.06
0.649,-0.00,0.04,0.07
0.653,-0.00,0.05,0.08
0.656,0.00,0.05,0.09
0.661,-0.00,0.05,0.10
0.665,-0.00,0.05,0.11
0.668,-0.00,0.04,0.11
0.672,-0.00,0.04,0.11
0.676,-0.00,0.04,0.11
0.680,0.00,0.04,0.11
0.684,0.01,0.04,0.11
0.688,0.01,0.04,0.11
0.691,0.01,0.03,0.11
0.697,0.02,0.02,0.11
0.701,0.01,0.02,0.12
0.704,0.01,0.02,0.13
0.708,0.01,0.03,0.13
0.712,0.00,0.03,0.14
0.715,-0.01,0.04,0.15
0.719,-0.02,0.04,0.15
0.723,-0.02,0.05,0.15
0.729,-0.03,0.05,0.15
0.732,-0.03,0.05,0.16
0.736,-0.03,0.05,0.16
0.739,-0.02,0.06,0.17
0.743,-0.02,0.06,0.17
0.747,-0.02,0.06,0.17
0.751,-0.01,0.07,0.18
0.755,0.01,0.08,0.18
0.759,0.02,0.08,0.18
0.763,0.01,0.07,0.19
0.767,0.01,0.07,0.20
0.771,0.00,0.07,0.21
0.774,0.00,0.07,0.21
0.780,-0.00,0.08,0.22
0.783,0.00,0.08,0.23
0.787,0.01,0.08,0.23
0.790,0.02,0.09,0.23
0.795,0.02,0.10,0.23
0.798,0.01,0.11,0.23
0.802,0.01,0.10,0.23
0.806,0.00,0.10,0.23
0.810,-0.00,0.10,0.23
0.814,-0.01,0.09,0.22
0.818,-0.01,0.09,0.22
0.822,-0.01,0.09,0.21
0.826,-0.01,0.10,0.21
0.830,-0.01,0.10,0.20
0.834,-0.01,0.09,0.19
0.837,-0.01,0.09,0.19
0.842,-0.01,0.08,0.18
0.845,-0.01,0.07,0.17
0.850,-0.01,0.07,0.16
0.854,-0.00,0.07,0.16
0.858,-0.01,0.08,0.15
0.862,-0.01,0.08,0.15
0.866,-0.02,0.08,0.14
0.869,-0.02,0.07,0.14
0.873,-0.02,0.07,0.15
0.879,-0.02,0.07,0.16
0.881,-0.01,0.08,0.17
0.885,-0.00,0.08,0.18
0.889,0.00,0.09,0.20
0.893,0.00,0.09,0.21
0.897,0.00,0.09,0.21
0.901,-0.00,0.09,0.22
0.905,0.00,0.09,0.22
0.909,0.00,0.09,0.22
0.913,0.00,0.09,0.22
0.917,-0.01,0.08,0.22
0.921,-0.00,0.07,0.21
0.925,-0.00,0.07,0.21
0.928,-0.01,0.08,0.20
0.933,-0.01,0.09,0.20
0.937,-0.02,0.10,0.19
0.940,-0.01,0.09,0.18
0.945,-0.02,0.09,0.17
0.949,-0.02,0.08,0.16
0.952,-0.03,0.08,0.14
0.956,-0.03,0.08,0.13
0.962,-0.03,0.08,0.11
0.964,-0.03,0.08,0.10
0.968,-0.02,0.07,0.08
0.972,-0.02,0.07,0.07
0.976,-0.02,0.08,0.06
0.982,-0.03,0.07,0.06
0.985,-0.02,0.05,0.05
0.988,-0.01,0.04,0.05
0.993,-0.02,0.04,0.05
1.000,-0.02,0.04,0.06
1.000,-0.01,0.04,0.06
1.005,-0.00,0.05,0.07
1.009,-0.00,0.05,0.08
1.017,-0.01,0.06,0.10
1.018,-0.01,0.06,0.11
1.022,-0.01,0.06,0.13
1.024,-0.01,0.07,0.13
1.029,-0.01,0.07,0.13
1.035,-0.01,0.07,0.14
1.036,-0.01,0.07,0.14
1.040,-0.02,0.08,0.14
1.044,-0.01,0.07,0.13
1.048,-0.01,0.07,0.13
1.052,-0.01,0.06,0.12
1.056,-0.00,0.06,0.11
1.059,-0.01,0.07,0.11
1.063,-0.02,0.08,0.11
1.068,-0.03,0.08,0.10
1.071,-0.03,0.07,0.09
1.075,-0.03,0.07,0.08
1.083,-0.04,0.06,0.07
1.084,-0.04,0.05,0.06
1.089,-0.04,0.05,0.04
1.091,-0.04,0.04,0.03
1.095,-0.04,0.03,0.03
1.103,-0.03,0.02,0.02
1.104,-0.03,0.02,0.01
1.107,-0.03,0.02,0.00
1.113,-0.03,0.02,0.00
1.117,-0.03,0.02,0.00
1.120,-0.03,0.02,0.00
1.122,-0.04,0.02,0.01
1.129,-0.04,0.03,0.02
1.131,-0.04,0.03,0.02
1.135,-0.05,0.04,0.03
1.139,-0.05,0.04,0.04
1.142,-0.05,0.04,0.05
1.147,-0.04,0.05,0.06
1.151,-0.04,0.05,0.07
1.154,-0.03,0.06,0.08
1.158,-0.03,0.07,0.09
1.163,-0.03,0.07,0.09
1.167,-0.03,0.07,0.10
1.170,-0.03,0.06,0.09
1.174,-0.03,0.05,0.09
1.178,-0.03,0.05,0.09
1.182,-0.04,0.06,0.08
1.187,-0.04,0.05,0.07
1.190,-0.05,0.05,0.07
1.194,-0.05,0.04,0.06
1.201,-0.05,0.03,0.05
1.202,-0.04,0.02,0.04
1.205,-0.04,0.02,0.04
1.210,-0.03,0.02,0.04
1.222,-0.03,0.02,0.03
1.223,-0.03,0.02,0.04
1.224,-0.03,0.01,0.04
1.225,-0.02,0.01,0.05
1.233,-0.02,0.01,0.06
1.234,-0.03,0.01,0.07
1.237,-0.03,0.02,0.09
1.242,-0.03,0.03,0.10
1.247,-0.03,0.04,0.11
1.250,-0.04,0.05,0.12
1.253,-0.05,0.06,0.13
1.257,-0.05,0.07,0.13
1.261,-0.05,0.07,0.14
1.265,-0.04,0.07,0.14
1.269,-0.04,0.06,0.14
1.274,-0.03,0.05,0.14
1.277,-0.03,0.05,0.13
1.284,-0.02,0.05,0.11
1.285,-0.02,0.04,0.09
1.288,-0.01,0.03,0.06
1.293,-0.02,0.02,0.04
1.304,-0.02,0.00,0.01
1.305,-0.03,0.00,-0.02
1.305,-0.03,-0.00,-0.05
1.308,-0.04,-0.01,-0.07
1.314,-0.04,-0.02,-0.09
1.318,-0.04,-0.03,-0.11
1.321,-0.03,-0.04,-0.12
1.324,-0.03,-0.04,-0.12
1.330,-0.03,-0.03,-0.12
1.333,-0.03,-0.02,-0.12
1.336,-0.03,-0.03,-0.11
1.341,-0.03,-0.03,-0.09
1.345,-0.04,-0.03,-0.08
1.348,-0.04,-0.02,-0.05
1.352,-0.04,-0.01,-0.04
1.356,-0.04,-0.00,-0.02
1.360,-0.04,0.01,-0.00
1.365,-0.04,0.01,0.01
1.368,-0.03,0.00,0.01
1.372,-0.03,-0.00,0.01
1.376,-0.02,-0.00,0.01
1.385,-0.01,-0.00,0.01
1.385,-0.01,0.00,0.01
1.388,0.00,0.00,0.01
1.393,0.01,0.00,0.01
1.395,0.01,-0.00,0.01
1.405,0.00,-0.00,0.01
1.406,-0.00,0.01,0.01
1.407,-0.02,0.01,0.00
1.413,-0.02,0.02,-0.00
1.416,-0.02,0.02,-0.01
1.419,-0.02,0.02,-0.02
1.423,-0.04,0.01,-0.04
1.427,-0.05,-0.00,-0.06
1.431,-0.05,-0.01,-0.07
1.435,-0.05,-0.01,-0.09
1.439,-0.04,-0.01,-0.10
1.442,-0.03,-0.01,-0.11
1.448,-0.03,-0.02,-0.12
1.451,-0.03,-0.03,-0.13
1.455,-0.04,-0.03,-0.13
1.459,-0.03,-0.03,-0.13
1.464,-0.04,-0.02,-0.12
1.467,-0.04,-0.03,-0.12
1.471,-0.04,-0.03,-0.12
1.474,-0.04,-0.04,-0.12
1.478,-0.04,-0.04,-0.11
1.483,-0.04,-0.04,-0.10
1.487,-0.04,-0.03,-0.09
1.490,-0.03,-0.02,-0.08
1.494,-0.03,-0.02,-0.07
1.502,-0.03,-0.01,-0.06
1.503,-0.02,-0.01,-0.05
1.511,-0.02,-0.01,-0.05
1.511,-0.01,0.00,-0.05
1.520,-0.01,0.01,-0.05
1.522,-0.01,0.01,-0.05
1.522,-0.01,0.01,-0.05
1.526,-0.01,0.01,-0.06
1.533,-0.01,0.00,-0.07
1.534,-0.01,-0.00,-0.07
1.538,-0.01,-0.01,-0.07
1.542,-0.01,-0.01,-0.08
1.547,-0.02,-0.01,-0.08
1.550,-0.02,-0.01,-0.07
1.554,-0.02,0.00,-0.07
1.557,-0.02,-0.00,-0.06
1.562,-0.01,-0.01,-0.06
1.565,-0.01,-0.01,-0.06
1.569,-0.01,-0.01,-0.06
1.574,-0.01,-0.01,-0.05
1.578,-0.01,-0.01,-0.05
1.588,-0.02,-0.00,-0.05
1.589,-0.02,-0.01,-0.05
1.591,-0.02,-0.01,-0.05
1.592,-0.02,-0.02,-0.05
1.609,-0.02,-0.01,-0.05
1.610,-0.02,-0.01,-0.05
1.610,-0.02,-0.01,-0.05
1.611,-0.02,-0.01,-0.05
1.613,-0.02,-0.01,-0.04
1.620,-0.02,-0.02,-0.04
1.621,-0.02,-0.02,-0.03
1.625,-0.01,-0.02,-0.02
1.629,-0.01,-0.01,-0.02
1.634,-0.01,-0.00,-0.01
1.638,-0.01,0.01,-0.00
1.640,-0.01,0.01,0.00
1.645,-0.01,0.02,0.01
1.648,-0.01,0.02,0.01
1.652,-0.01,0.02,0.01
1.656,-0.01,0.02,0.01
1.660,-0.02,0.03,0.00
1.665,-0.02,0.03,-0.00
1.669,-0.02,0.02,-0.01
1.673,-0.02,0.01,-0.02
1.676,-0.02,0.00,-0.02
1.680,-0.02,0.00,-0.02
1.684,-0.01,-0.00,-0.03
1.688,-0.01,0.00,-0.02
1.692,-0.01,0.00,-0.02
1.703,-0.01,0.00,-0.02
1.704,-0.01,-0.00,-0.02
1.704,-0.01,-0.00,-0.02
1.709,-0.01,0.00,-0.01
1.712,-0.01,0.00,-0.01
1.725,-0.01,0.01,-0.01
1.726,-0.01,0.01,-0.01
1.726,-0.01,0.01,-0.00
1.728,-0.01,0.00,-0.00
1.736,-0.01,0.01,0.00
1.737,-0.01,0.01,0.00
1.739,-0.00,0.01,0.00
1.743,-0.00,0.02,0.00
1.749,-0.00,0.02,0.00
1.753,-0.01,0.02,0.00
1.755,-0.00,0.02,0.00
1.759,-0.00,0.02,0.00
1.762,-0.01,0.02,0.00
1.767,-0.01,0.02,0.00
1.771,-0.00,0.02,0.01
1.775,0.00,0.02,0.01
1.779,0.00,0.01,0.01
1.786,0.00,0.01,0.01
1.787,-0.00,0.00,0.01
1.791,-0.00,0.00,0.01
1.794,-0.00,0.00,0.01
1.807,-0.00,0.01,0.01
1.808,-0.00,0.01,0.00
1.808,-0.01,0.01,-0.00
1.810,-0.01,0.01,-0.01
1.818,-0.01,0.00,-0.01
1.819,-0.02,0.00,-0.02
1.822,-0.02,0.00,-0.02
1.827,-0.02,0.00,-0.02
1.833,-0.02,-0.00,-0.02
1.834,-0.01,-0.00,-0.02
1.839,-0.01,-0.00,-0.02
1.842,-0.01,-0.00,-0.02
1.846,-0.01,0.00,-0.01
1.852,-0.01,0.00,-0.01
1.853,-0.00,0.01,-0.00
1.858,-0.00,0.01,0.01
1.862,-0.00,0.01,0.02
1.866,-0.00,0.01,0.02
1.870,-0.00,0.02,0.03
1.874,0.00,0.02,0.03
1.877,0.00,0.02,0.03
1.883,0.00,0.02,0.03
1.886,0.00,0.02,0.03
1.890,0.01,0.02,0.03
1.893,0.02,0.02,0.03
1.905,0.02,0.01,0.02
1.905,0.02,0.01,0.02
1.906,0.02,0.00,0.02
1.909,0.01,0.01,0.02
1.913,0.01,0.01,0.02
1.929,-0.00,0.01,0.02
1.930,-0.01,0.01,0.01
1.930,-0.01,0.01,0.01
1.930,-0.01,0.00,0.01
1.940,-0.02,-0.00,0.00
1.942,-0.02,-0.00,-0.00
1.942,-0.02,-0.00,-0.01
1.946,-0.01,0.00,-0.01
1.951,-0.01,-0.00,-0.02
1.952,-0.01,-0.00,-0.03
1.957,-0.01,-0.00,-0.03
1.960,-0.01,-0.01,-0.03
1.967,-0.01,-0.00,-0.03
1.969,-0.01,-0.00,-0.03
1.972,-0.01,0.00,-0.03
1.976,-0.01,0.00,-0.03
1.980,-0.01,0.00,-0.04
1.985,-0.01,0.01,-0.04
1.988,-0.01,0.01,-0.04
1.992,-0.02,-0.00,-0.04
1.995,-0.01,-0.01,-0.05
2.004,-0.01,-0.01,-0.05
2.005,-0.01,-0.01,-0.05
2.008,-0.01,-0.01,-0.05
2.012,-0.01,-0.01,-0.05
2.030,-0.01,-0.01,-0.05
2.031,-0.00,-0.02,-0.04
2.032,-0.00,-0.02,-0.04
2.032,-0.01,-0.02,-0.04
2.032,-0.01,-0.02,-0.04
2.041,-0.01,-0.02,-0.04
2.042,-0.02,-0.02,-0.03
2.043,-0.02,-0.01,-0.03
2.049,-0.02,-0.01,-0.03
2.052,-0.02,-0.00,-0.03
2.055,-0.02,-0.01,-0.02
2.059,-0.02,-0.01,-0.02
2.066,-0.01,-0.01,-0.02
2.067,-0.01,-0.01,-0.02
2.071,-0.02,-0.01,-0.02
2.075,-0.01,-0.01,-0.02
2.079,-0.02,-0.01,-0.02
2.085,-0.02,-0.01,-0.02
2.087,-0.02,-0.00,-0.02
2.091,-0.01,-0.00,-0.02
2.095,-0.01,-0.00,-0.02
2.105,-0.01,-0.00,-0.03
2.106,-0.01,-0.00,-0.03
2.107,-0.01,-0.00,-0.03
2.111,-0.01,-0.00,-0.03
2.135,-0.01,-0.00,-0.02
2.136,-0.01,-0.00,-0.02
2.137,-0.01,-0.00,-0.02
2.137,-0.01,-0.01,-0.02
2.138,-0.01,-0.01,-0.01
2.138,-0.01,-0.01,-0.01
2.138,0.00,-0.01,-0.01
2.142,0.00,-0.01,-0.01
2.146,0.00,-0.00,-0.01
2.151,0.00,0.00,-0.00
2.154,0.01,0.01,0.00
2.159,0.01,0.01,0.00
2.162,0.00,0.01,0.01
2.167,0.00,0.00,0.01
2.170,0.01,0.01,0.01
2.173,0.01,0.02,0.01
2.178,0.01,0.02,0.00
2.183,0.00,0.02,0.00
2.186,0.00,0.02,-0.00
2.189,-0.00,0.02,-0.01
2.194,-0.00,0.02,-0.01
2.197,-0.01,0.01,-0.01
2.205,-0.01,0.01,-0.02
2.206,-0.01,0.00,-0.02
2.211,-0.01,-0.00,-0.02
2.212,-0.01,-0.01,-0.02
2.226,-0.01,-0.01,-0.02
2.227,-0.01,-0.00,-0.02
2.227,-0.01,-0.00,-0.02
2.229,-0.01,0.00,-0.02
2.236,-0.02,0.00,-0.01
2.238,-0.01,0.00,-0.01
2.242,-0.01,0.00,-0.01
2.245,-0.01,0.00,-0.01
2.249,-0.00,0.01,-0.01
2.253,0.00,0.02,-0.01
2.257,0.00,0.02,-0.01
2.260,0.00,0.01,-0.01
2.267,0.00,0.01,-0.01
2.268,0.00,0.01,-0.02
2.272,-0.00,0.01,-0.02
2.276,-0.01,0.01,-0.01
2.280,0.00,0.01,-0.01
2.284,-0.00,0.01,-0.01
2.289,-0.00,-0.00,-0.01
2.292,-0.01,-0.01,-0.00
2.296,-0.01,-0.01,-0.00
2.304,-0.01,-0.01,0.00
2.305,-0.01,-0.01,0.00
2.309,-0.01,-0.01,0.00
2.312,-0.01,-0.00,0.00
2.330,-0.01,-0.00,-0.00
2.331,-0.01,-0.00,-0.00
2.332,-0.00,-0.01,-0.01
2.332,-0.00,-0.01,-0.01
2.333,-0.00,-0.01,-0.01
2.336,-0.00,-0.00,-0.01
2.339,-0.00,0.00,-0.01
2.343,-0.00,0.00,-0.02
2.348,-0.00,0.00,-0.02
2.352,-0.00,0.00,-0.03
2.355,-0.01,0.00,-0.04
2.360,-0.01,-0.00,-0.04
2.364,-0.01,-0.01,-0.04
2.367,-0.01,-0.01,-0.04
2.372,-0.02,-0.01,-0.04
2.375,-0.01,-0.00,-0.03
2.379,-0.01,-0.00,-0.03
2.389,-0.01,0.00,-0.02
2.390,-0.00,-0.00,-0.01
2.391,-0.00,-0.00,-0.01
2.397,0.00,-0.00,-0.00
2.398,0.01,-0.00,-0.00
2.413,0.01,-0.00,-0.00
2.414,0.02,0.00,0.00
2.414,0.02,0.00,0.00
2.415,0.02,0.00,0.00
2.424,0.02,0.00,0.00
2.425,0.02,-0.00,0.01
2.426,0.01,-0.00,0.00
2.431,0.01,0.00,0.00
2.435,0.00,0.00,-0.00
2.439,-0.00,0.00,-0.00
2.443,-0.01,-0.00,-0.01
2.446,-0.01,-0.01,-0.02
2.450,-0.01,-0.01,-0.02
2.454,-0.01,-0.02,-0.03
2.458,-0.01,-0.02,-0.03
2.461,-0.01,-0.02,-0.04
2.467,-0.01,-0.02,-0.04
2.470,-0.01,-0.01,-0.04
2.474,-0.01,-0.02,-0.04
2.478,-0.01,-0.02,-0.03
2.483,-0.01,-0.02,-0.03
2.485,-0.01,-0.01,-0.02
2.492,-0.00,-0.01,-0.02
2.493,-0.00,-0.01,-0.01
2.497,0.01,-0.01,-0.00
2.505,0.01,-0.00,0.00
2.506,0.01,-0.00,0.01
2.510,0.01,-0.00,0.02
2.513,0.01,-0.00,0.02
2.530,0.01,-0.00,0.03
2.532,0.01,-0.00,0.03
2.532,0.01,0.00,0.03
2.532,0.01,-0.00,0.03
2.540,0.01,-0.01,0.03
2.541,0.01,-0.01,0.02
2.541,0.01,-0.01,0.02
2.545,0.01,-0.01,0.02
2.551,0.01,-0.01,0.01
2.553,0.01,-0.01,0.01
2.558,0.00,-0.01,0.00
2.561,0.00,-0.01,0.00
2.564,-0.00,-0.02,-0.00
2.569,-0.00,-0.02,-0.00
2.573,-0.01,-0.02,-0.01
2.577,-0.01,-0.01,-0.01
2.580,-0.01,-0.02,-0.02
2.588,-0.01,-0.02,-0.01
2.589,-0.01,-0.02,-0.02
2.592,-0.01,-0.02,-0.01
2.596,-0.01,-0.02,-0.02
2.613,-0.01,-0.02,-0.01
2.615,-0.01,-0.02,-0.01
2.615,-0.01,-0.02,-0.01
2.617,-0.01,-0.02,-0.00
2.618,-0.00,-0.01,0.00
2.625,0.00,-0.01,0.00
2.627,0.00,-0.00,0.01
2.627,0.00,-0.00,0.01
2.636,0.00,-0.00,0.01
2.638,0.01,0.00,0.02
2.640,0.01,0.00,0.02
2.644,0.01,0.01,0.02
2.648,0.01,0.01,0.02
2.653,0.01,0.01,0.02
2.655,0.02,0.01,0.02
2.660,0.02,0.00,0.02
2.663,0.02,0.00,0.01
2.668,0.01,0.00,0.01
2.672,0.01,-0.00,0.01
2.676,0.01,-0.00,-0.00
2.680,0.01,-0.00,-0.00
2.688,0.01,-0.00,-0.01
2.689,0.01,-0.00,-0.01
2.693,0.00,0.00,-0.01
2.694,0.00,-0.00,-0.01
2.700,0.01,-0.00,-0.01
2.714,0.00,-0.01,-0.01
2.714,0.01,-0.01,-0.01
2.715,0.01,-0.01,-0.00
2.715,0.00,-0.00,0.00
2.724,0.00,0.00,0.01
2.725,0.01,0.01,0.01
2.728,0.01,0.01,0.01
2.730,0.01,0.01,0.01
2.735,0.01,0.01,0.01
2.740,0.01,0.02,0.01
2.742,0.01,0.02,0.00
2.746,0.01,0.01,-0.00
2.751,0.00,0.01,-0.01
2.754,0.00,0.01,-0.01
2.758,-0.01,0.00,-0.02
2.762,-0.00,0.00,-0.02
2.765,-0.01,0.00,-0.02
2.771,-0.01,0.00,-0.01
2.775,-0.01,-0.00,-0.01
2.778,-0.01,-0.00,-0.00
2.782,-0.01,-0.01,-0.00
2.789,-0.00,-0.00,-0.00
2.790,-0.01,0.00,-0.00
2.799,0.00,0.00,-0.00
2.800,0.01,0.00,-0.00
2.811,0.01,0.00,-0.00
2.812,0.01,0.00,-0.00
2.812,0.01,0.00,-0.00
2.813,0.01,-0.00,-0.00
2.820,0.01,-0.00,-0.01
2.821,0.00,-0.00,-0.01
2.828,0.00,-0.00,-0.01
2.829,-0.00,0.00,-0.01
2.836,-0.00,0.00,-0.01
2.837,0.00,0.00,-0.01
2.841,0.00,-0.00,-0.01
2.846,0.00,-0.00,-0.01
2.849,0.00,-0.00,-0.00
2.853,0.00,-0.00,-0.00
2.857,0.00,-0.00,-0.00
2.861,0.01,-0.00,-0.00
2.865,0.00,-0.00,-0.00
2.869,0.01,-0.01,-0.00
2.873,0.01,-0.01,0.00
2.877,0.00,-0.01,0.00
2.881,0.00,-0.00,0.00
2.889,0.01,0.00,-0.00
2.890,0.01,0.00,-0.00
2.895,0.01,0.00,-0.00
2.896,0.01,0.00,-0.01
2.913,0.01,-0.00,-0.01
2.914,0.02,0.00,-0.01
2.915,0.01,-0.00,-0.01
2.916,0.01,-0.00,-0.01
2.925,0.01,-0.00,-0.02
2.925,0.00,-0.00,-0.02
2.926,0.00,0.00,-0.02
2.928,0.00,-0.00,-0.03
2.932,-0.00,-0.00,-0.03
2.936,-0.00,-0.01,-0.03
2.950,-0.00,-0.01,-0.03
2.950,-0.01,-0.01,-0.03
2.951,-0.00,-0.01,-0.03
2.953,-0.00,-0.01,-0.02
2.956,-0.00,-0.01,-0.02
2.960,0.00,-0.00,-0.02
2.963,0.01,-0.00,-0.02
2.967,0.00,-0.00,-0.01
2.971,0.00,-0.00,-0.01
2.976,0.00,-0.00,-0.01
2.979,0.00,-0.00,-0.01
2.984,0.00,-0.00,-0.01
2.988,0.01,0.00,-0.01
2.991,0.01,0.00,-0.00
2.995,0.01,0.00,-0.00
2.999,0.02,0.00,-0.00
3.006,0.02,-0.00,-0.00
3.007,0.02,-0.00,0.00
3.014,0.02,0.00,0.00
3.014,0.02,0.01,0.00
3.032,0.02,0.01,0.00
3.033,0.01,0.01,-0.00
3.034,0.01,0.00,-0.00
3.034,0.01,-0.00,-0.01
3.035,0.00,-0.01,-0.01
3.038,0.00,-0.01,-0.02
3.043,0.00,-0.01,-0.02
3.047,-0.00,-0.01,-0.02
3.052,-0.01,-0.01,-0.03
3.054,-0.00,-0.01,-0.03
3.058,0.00,-0.01,-0.03
3.062,-0.00,-0.01,-0.03
3.066,0.00,-0.01,-0.03
3.070,0.00,-0.01,-0.03
3.074,0.00,-0.00,-0.02
3.078,0.00,0.00,-0.02
3.082,0.01,0.00,-0.01
3.089,0.01,0.00,-0.01
3.090,0.01,-0.00,-0.00
3.097,0.01,-0.00,-0.00
3.097,0.01,-0.01,-0.00
3.113,0.02,-0.00,-0.00
3.114,0.01,0.00,0.00
3.114,0.01,0.01,0.00
3.115,0.01,0.01,-0.00
3.123,0.01,0.00,-0.00
3.124,0.01,-0.01,-0.01
3.125,0.01,-0.00,-0.01
3.130,0.02,0.00,-0.02
3.136,0.01,-0.00,-0.02
