time,wx,wy,wz
0.001,-0.00,0.02,0.01
0.002,0.00,0.01,0.01
0.004,0.01,0.01,0.02
0.008,0.01,0.01,0.02
0.013,0.01,0.02,0.01
0.016,0.02,0.01,0.00
0.020,0.01,0.00,-0.02
0.024,-0.01,-0.03,-0.02
0.029,-0.01,-0.03,-0.02
0.032,0.00,0.00,-0.03
0.036,0.01,0.02,-0.03
0.040,0.01,0.01,-0.04
0.043,0.00,-0.01,-0.03
0.048,-0.01,-0.02,-0.03
0.052,-0.01,-0.02,-0.03
0.055,-0.01,-0.01,-0.03
0.060,-0.00,-0.01,-0.02
0.064,0.00,-0.01,-0.02
0.067,0.01,-0.00,-0.01
0.072,0.01,-0.00,-0.01
0.077,0.00,-0.00,0.00
0.080,0.00,-0.00,0.01
0.083,0.01,0.00,0.01
0.087,0.00,0.01,0.02
0.091,-0.00,0.01,0.03
0.095,0.00,0.01,0.03
0.099,0.01,0.01,0.03
0.103,0.01,0.01,0.03
0.107,0.00,0.01,0.03
0.111,0.01,0.01,0.04
0.115,0.01,0.01,0.04
0.119,0.01,0.01,0.04
0.122,0.01,0.02,0.04
0.127,0.01,0.02,0.04
0.132,0.00,0.01,0.03
0.135,0.00,0.01,0.03
0.138,0.00,0.01,0.03
0.142,-0.00,0.01,0.03
0.147,0.00,0.01,0.03
0.151,0.00,0.01,0.02
0.155,0.00,0.01,0.02
0.158,0.01,0.01,0.02
0.162,0.01,0.01,0.01
0.167,0.01,0.00,0.01
0.170,0.01,0.00,0.00
0.174,0.01,-0.00,-0.00
0.183,0.01,-0.00,-0.00
0.184,0.01,-0.00,-0.00
0.186,0.01,0.00,0.00
0.190,0.01,0.00,0.00
0.194,0.00,0.01,0.00
0.198,0.00,0.01,0.01
0.202,-0.00,0.01,0.01
0.206,-0.00,0.02,0.02
0.211,-0.01,0.02,0.03
0.214,-0.01,0.02,0.03
0.218,-0.00,0.02,0.03
0.221,-0.00,0.02,0.03
0.227,-0.00,0.02,0.02
