time,ax,ay,az,aT
0.0030,0.3561,-0.3863,-0.1226,0.540
0.0040,0.3260,-0.2302,-0.1443,0.424
0.0170,0.2972,-0.1968,-0.2275,0.423
0.0300,0.3116,-0.2959,-0.3106,0.530
0.0400,0.3858,-0.5470,-0.3363,0.749
0.0440,0.3660,-0.5347,-0.3792,0.751
0.0530,0.2305,-0.3743,-0.2862,0.525
0.0680,0.2301,-0.2566,-0.2682,0.437
0.0720,0.3261,-0.3126,-0.2304,0.507
0.0820,0.3660,-0.3871,-0.3076,0.615
0.0930,0.3122,-0.5380,-0.3271,0.703
0.1180,0.2397,-0.5733,-0.4234,0.752
0.1190,0.1673,-0.4358,-0.4816,0.671
0.1250,0.1298,-0.2966,-0.3493,0.476
0.1310,0.2243,-0.1946,-0.1601,0.337
0.1410,0.2774,-0.3613,-0.2011,0.498
0.1510,0.3317,-0.5694,-0.2599,0.708
0.1610,0.3149,-0.5325,-0.3165,0.695
0.1730,0.1852,-0.4767,-0.5261,0.734
0.1890,0.1861,-0.3215,-0.4500,0.584
0.1910,0.1633,-0.0481,-0.2800,0.328
0.2010,0.3098,-0.1176,-0.1877,0.381
0.2110,0.3419,-0.3022,-0.2101,0.502
0.2200,0.2812,-0.4694,-0.2699,0.610
0.2300,0.2856,-0.3319,-0.2897,0.525
0.2430,0.2705,-0.2891,-0.3099,0.503
0.2500,0.2903,-0.3016,-0.2739,0.500
0.2600,0.2726,-0.4313,-0.2561,0.571
0.2700,0.2750,-0.4495,-0.3136,0.613
0.2870,0.2586,-0.3727,-0.2750,0.530
0.2940,0.3547,-0.2373,-0.2754,0.508
0.3000,0.3725,-0.2560,-0.2949,0.540
0.3100,0.3725,-0.4491,-0.3518,0.681
0.3200,0.3173,-0.4358,-0.4835,0.724
0.3300,0.2637,-0.3290,-0.4227,0.597
0.3440,0.2656,-0.1438,-0.4010,0.502
0.3490,0.2262,-0.2425,-0.4193,0.535
0.3600,0.2820,-0.3956,-0.5153,0.708
0.3690,0.1483,-0.4897,-0.4584,0.687
0.3790,0.0916,-0.4294,-0.4401,0.622
0.4030,0.0908,-0.3099,-0.3269,0.460
0.4050,0.1465,-0.3241,-0.1949,0.406
0.4190,0.2773,-0.4723,-0.1971,0.582
0.4210,0.2386,-0.4693,-0.3323,0.623
0.4280,0.1827,-0.4468,-0.3333,0.587
0.4410,0.1848,-0.3087,-0.2962,0.466
0.4500,0.2047,-0.3041,-0.2977,0.472
0.4590,0.1669,-0.3976,-0.4133,0.597
0.4680,0.1504,-0.3602,-0.4510,0.596
0.4840,0.1153,-0.3416,-0.3737,0.519
0.4980,0.2112,-0.2069,-0.2782,0.406
0.5000,0.2857,-0.1866,-0.1256,0.364
0.5090,0.2811,-0.3385,-0.1458,0.464
0.5190,0.3356,-0.3766,-0.1463,0.525
0.5290,0.2967,-0.3766,-0.1655,0.507
0.5390,0.3536,-0.2616,-0.2039,0.485
0.5480,0.3518,-0.2422,-0.2426,0.491
0.5580,0.2545,-0.3569,-0.3386,0.554
0.5690,0.2933,-0.3579,-0.4340,0.634
0.5830,0.3721,-0.3219,-0.4520,0.668
0.5900,0.3531,-0.3414,-0.4136,0.642
0.5980,0.2759,-0.2824,-0.4525,0.601
0.6100,0.2364,-0.3161,-0.4734,0.616
0.6180,0.2730,-0.3874,-0.4564,0.658
0.6280,0.3288,-0.4597,-0.4581,0.728
0.6370,0.3268,-0.4569,-0.4211,0.702
0.6470,0.2666,-0.3005,-0.3842,0.556
0.6580,0.1489,-0.1431,-0.3669,0.421
0.6670,0.2981,-0.2710,-0.4462,0.601
0.6800,0.2546,-0.3775,-0.3348,0.565
0.6960,0.2340,-0.4314,-0.2980,0.574
0.6970,0.1743,-0.3671,-0.3389,0.529
0.7070,0.1715,-0.2246,-0.2847,0.401
0.7180,0.1298,-0.2368,-0.2493,0.368
