time,ax,ay,az,aT
0.0010,0.3031,0.2334,-0.7627,0.853
0.0080,0.1311,0.3202,-0.1856,0.393
0.0180,-0.0369,0.2729,0.3261,0.427
0.0280,-0.1865,0.1292,0.4022,0.462
0.0380,-0.1721,-0.0465,0.3149,0.362
0.0480,-0.0660,-0.1561,0.2145,0.273
0.0580,0.1367,-0.1218,0.1649,0.246
0.0680,0.1783,-0.0897,0.1300,0.238
0.0790,0.2255,-0.0770,0.0269,0.240
0.0870,0.1846,-0.0264,-0.0561,0.195
0.0970,0.1858,-0.0370,-0.1030,0.216
0.1070,0.1558,-0.0372,-0.0927,0.185
0.1170,0.1770,-0.0037,-0.0685,0.190
0.1270,0.0545,-0.0067,-0.0516,0.075
0.1360,0.1098,0.0323,-0.1129,0.161
0.1460,0.1139,0.0356,-0.1073,0.160
0.1560,0.1348,-0.0219,-0.0404,0.142
0.1660,0.0818,0.0054,0.0375,0.090
0.1760,-0.0401,-0.0662,0.0339,0.084
0.1860,-0.0696,-0.1455,-0.0363,0.165
0.1960,-0.0302,-0.1396,-0.1084,0.179
0.2060,-0.0722,-0.1230,-0.0615,0.155
0.2160,-0.0948,-0.0017,0.0133,0.096
0.2250,-0.1525,0.0005,0.0236,0.154
0.2350,-0.1021,0.0004,0.0723,0.125
0.2450,-0.0949,0.0168,0.0593,0.113
0.2550,-0.0715,0.0238,0.0517,0.091
0.2650,-0.0445,-0.0099,0.0697,0.083
0.2750,-0.0270,-0.0237,0.0709,0.079
0.2850,-0.0330,0.0151,0.0438,0.057
0.2950,0.0227,-0.0239,0.0170,0.037
0.3040,0.0584,-0.0417,-0.0845,0.111
0.3140,0.0508,-0.1632,-0.2902,0.337
0.3240,0.0917,-0.0921,-0.3089,0.335
0.3340,0.0664,-0.0242,-0.2639,0.273
0.3440,0.0477,0.0642,-0.2505,0.263
0.3530,0.0199,0.1734,-0.2822,0.332
0.3630,0.1876,0.2634,-0.2243,0.394
0.3730,0.2559,0.2925,-0.1889,0.432
0.3830,0.2279,0.2506,-0.0225,0.340
0.3930,0.0596,0.0805,-0.0423,0.109
0.4030,-0.1071,0.0126,-0.1206,0.162
0.4140,-0.0804,-0.0881,-0.0172,0.121
0.4220,-0.0169,-0.2133,0.0049,0.214
0.4320,-0.2167,0.0454,0.0673,0.231
0.4410,-0.1738,-0.0425,0.2211,0.284
0.4520,-0.2378,0.0798,0.2474,0.352
0.4620,-0.2085,0.2266,0.3897,0.497
0.4710,-0.0362,0.1089,0.3906,0.407
0.4810,0.0933,-0.1821,0.3413,0.398
0.4910,-0.1597,-0.0325,-0.2644,0.311
0.5010,-0.2278,-0.0174,-0.3465,0.415
0.5130,-0.1362,-0.0516,-0.3173,0.349
0.5210,-0.0126,0.0291,-0.3149,0.317
0.5310,0.1547,0.1817,-0.3317,0.409
0.5400,0.3484,0.2640,-0.0177,0.437
0.5500,0.3189,0.1835,0.2637,0.453
0.5590,0.3182,0.1789,0.4420,0.573
0.5700,0.2091,0.1084,0.5774,0.624
0.5800,0.0867,0.1217,0.4321,0.457
0.5890,-0.0081,0.0723,0.3022,0.311
0.5990,0.2747,-0.3163,0.3867,0.570
0.6090,0.2747,-0.2624,-0.0901,0.390
0.6190,0.6212,-0.3273,-0.0064,0.702
0.6290,0.5896,-0.3800,0.2589,0.748
0.6390,0.3950,-0.6557,0.2967,0.821
0.6490,0.0609,-0.7699,0.1258,0.783
0.6580,-0.1327,-0.7670,-0.1902,0.801
0.6690,-0.1300,-0.6639,-0.1319,0.689
0.6780,-0.1594,-0.3996,0.0554,0.434
0.6880,-0.0370,-0.0514,0.5284,0.532
0.6970,-0.0681,0.1265,0.7601,0.774
0.7070,-0.1479,0.0845,1.0473,1.061
0.7170,-0.2417,0.0679,1.0610,1.090
0.7270,-0.3005,-0.0595,0.5669,0.644
0.7370,-0.4298,-0.3338,-0.2114,0.584
0.7470,-0.3385,-0.5599,-0.4473,0.793
0.7570,0.0122,-0.5246,-0.7411,0.908
0.7670,0.3149,-0.2030,-0.6427,0.744
0.7760,0.6271,-0.1278,-0.7902,1.017
0.7860,0.6058,-0.2990,-0.7758,1.029
0.7960,0.3835,-0.3581,-0.5682,0.773
0.8060,0.1412,-0.6112,-0.2769,0.686
0.8160,-0.1510,-0.4418,-0.2130,0.513
0.8260,-0.4575,-0.0524,0.1635,0.489
0.8350,-0.5352,0.1237,0.1269,0.564
0.8450,-0.4637,0.1948,0.0305,0.504
0.8550,-0.1911,0.3826,-0.4051,0.589
0.8650,0.1228,0.3809,-0.5162,0.653
0.8750,0.2839,0.3609,-0.6114,0.765
0.8850,0.1936,0.2453,-0.4123,0.517
0.8950,0.0046,-0.0404,-0.2941,0.297
0.9040,-0.1172,-0.0376,-0.0421,0.130
0.9190,-0.7560,0.0652,-0.5951,0.964
0.9260,-0.1546,0.2096,0.5254,0.586
0.9360,0.0440,0.3012,-0.0506,0.309
0.9450,0.1335,0.0449,-0.4715,0.492
0.9550,0.2384,0.0101,-0.0003,0.239
0.9650,0.1724,-0.0188,-0.0093,0.174
0.9740,-0.0530,-0.0966,0.1070,0.154
0.9840,-0.2024,0.0280,0.3630,0.417
0.9940,-0.0926,0.2041,0.4985,0.547
1.0040,-0.2131,0.0760,0.4359,0.491
1.0190,-0.0554,0.0212,0.3974,0.402
1.0250,0.1239,-0.0845,0.1972,0.248
1.0400,0.1659,-0.1365,0.0699,0.226
1.0430,0.1216,-0.1912,0.1795,0.289
1.0540,0.0078,-0.2421,0.1986,0.313
1.0660,-0.0547,-0.2508,0.1490,0.297
1.0730,-0.1307,-0.1781,-0.0240,0.222
1.0820,-0.1849,-0.0235,-0.0482,0.193
1.0920,-0.1692,0.0730,-0.0247,0.186
1.1020,-0.2156,0.1900,0.0179,0.288
1.1120,-0.0717,0.0628,0.0055,0.095
1.1230,-0.0602,-0.0469,-0.0903,0.118
1.1400,-0.0536,-0.1164,-0.2310,0.264
1.1410,0.0365,-0.0711,-0.2427,0.256
1.1520,-0.0899,0.0091,-0.1545,0.179
1.1610,-0.1275,0.0480,-0.0238,0.138
1.1730,-0.0729,0.0274,0.0113,0.079
1.1830,-0.0490,0.0611,0.0228,0.082
1.1910,-0.0508,0.1175,0.0514,0.138
1.2010,-0.0352,0.0040,-0.0031,0.036
1.2100,-0.0343,-0.1410,-0.1739,0.227
1.2200,0.0256,-0.2034,-0.2393,0.315
1.2300,-0.0170,-0.2088,-0.2974,0.364
1.2390,-0.0305,-0.1952,-0.2102,0.288
1.2500,0.0526,-0.0776,-0.0474,0.105
1.2590,0.1512,-0.0616,0.1339,0.211
1.2690,0.1909,-0.0580,0.1266,0.236
1.2790,0.0779,-0.0685,0.0647,0.122
1.2900,0.0719,-0.0938,0.0477,0.127
1.3000,0.0038,-0.1191,0.0261,0.122
1.3090,-0.0043,-0.1561,0.0774,0.174
1.3190,-0.0891,-0.0408,-0.2113,0.233
1.3290,-0.1359,0.2545,-0.3205,0.431
1.3390,-0.1054,0.4256,-0.2991,0.531
1.3540,-0.0830,0.3164,-0.0835,0.338
1.3580,0.0250,-0.0195,-0.0057,0.032
1.3720,0.1166,-0.3061,-0.2646,0.421
1.3780,0.2535,-0.5056,-0.1216,0.578
1.3900,0.3034,-0.5060,0.1861,0.619
1.3990,0.2305,-0.5513,0.3793,0.708
1.4070,0.0605,-0.4159,0.5331,0.679
1.4180,-0.1112,-0.3022,0.4426,0.547
1.4270,-0.1330,-0.0374,0.2255,0.264
1.4370,-0.1412,0.2004,-0.0445,0.249
1.4470,-0.1199,0.2923,-0.0988,0.331
1.4560,-0.2512,0.3829,-0.2943,0.544
1.4680,-0.2681,0.2489,-0.4906,0.612
1.4760,-0.2069,0.1162,-0.5117,0.564
1.4870,-0.0596,0.0243,-0.4251,0.430
1.4960,-0.0181,-0.0543,-0.2855,0.291
1.5060,0.0470,-0.1538,-0.1042,0.192
1.5200,0.1305,-0.2200,0.0980,0.274
1.5280,0.1864,-0.2903,0.1786,0.389
1.5410,0.1389,-0.2278,0.3244,0.420
1.5450,0.1286,-0.1436,0.3731,0.420
1.5550,-0.0794,0.0177,0.4657,0.473
1.5660,-0.2088,0.1877,0.3343,0.437
1.5750,-0.2246,0.2759,0.1843,0.401
1.5850,-0.1162,0.2958,0.0938,0.331
1.5950,-0.0511,0.2534,0.0646,0.266
1.6040,-0.0285,0.2281,0.1608,0.281
1.6140,0.0674,0.1312,0.2059,0.253
1.6230,0.1304,0.0385,0.2696,0.302
1.6420,0.1028,0.0470,0.2689,0.292
1.6430,0.0277,0.0583,0.3095,0.316
1.6540,-0.0142,0.0667,0.2504,0.260
1.6630,0.0074,0.1658,0.1588,0.230
1.6730,0.0996,0.2686,0.0989,0.303
1.6840,0.0193,0.2358,0.1422,0.276
1.6930,-0.0601,0.2167,0.2473,0.334
1.7020,-0.0978,0.2549,0.3664,0.457
1.7120,-0.1007,0.2101,0.2582,0.348
1.7220,-0.0076,0.1239,0.1643,0.206
1.7410,-0.0375,0.0927,0.0585,0.116
1.7420,0.0195,-0.0126,-0.0115,0.026
1.7570,-0.0019,-0.0421,0.0213,0.047
1.7610,-0.0806,-0.0389,0.1924,0.212
