time,ax,ay,az,aT
0.0020,-0.2070,-0.2884,-1.2887,1.337
0.0090,-0.1346,0.0449,-0.6995,0.714
0.0190,0.0873,0.2084,0.2569,0.342
0.0290,0.4660,0.2117,1.0149,1.137
0.0430,0.5627,0.1956,1.3608,1.486
0.0490,0.4623,0.1064,1.4948,1.568
0.0680,0.4271,-0.1578,1.0377,1.133
0.0690,0.3968,-0.1223,0.1022,0.428
0.0790,0.3730,-0.0844,-0.5109,0.638
0.0900,0.0409,0.0752,-0.6410,0.647
0.0980,-0.0236,0.1512,-0.5064,0.529
0.1080,-0.0169,0.0111,-0.1637,0.165
0.1180,0.0276,-0.0612,0.1429,0.158
0.1360,-0.0485,0.0691,0.2452,0.259
0.1370,-0.0865,0.1175,0.1542,0.212
0.1480,-0.0791,0.1156,0.2284,0.268
0.1650,-0.0569,0.0834,0.2426,0.263
0.1660,0.0162,0.0614,0.2165,0.226
0.1780,0.0782,0.0497,0.1365,0.165
0.1870,0.1525,-0.0104,0.1198,0.194
0.1970,0.0611,-0.0842,0.0513,0.116
0.2080,0.0280,-0.0516,0.1407,0.152
0.2160,0.0362,-0.1069,0.1799,0.212
0.2260,0.1247,-0.1527,0.0545,0.205
0.2360,0.0866,-0.1940,-0.0798,0.227
0.2470,0.0322,-0.0549,-0.0929,0.113
0.2550,-0.0025,0.0444,-0.0379,0.058
0.2660,0.0973,-0.0400,0.0521,0.117
0.2800,0.1462,-0.0888,0.0461,0.177
0.2860,0.1802,-0.0670,-0.0047,0.192
0.2950,0.2361,-0.1100,-0.0791,0.272
0.3050,0.1693,-0.1353,-0.1392,0.258
0.3150,0.0995,-0.1707,-0.0517,0.204
0.3270,0.1315,-0.1688,0.0279,0.216
0.3340,0.2223,-0.2188,0.0738,0.321
0.3490,0.1550,-0.2531,0.0734,0.306
0.3530,0.1083,-0.2493,0.0568,0.278
0.3640,0.1183,-0.1843,0.0191,0.220
0.3770,0.1184,-0.1718,-0.0676,0.219
0.3830,0.1197,-0.1373,-0.1206,0.218
0.3930,0.0904,-0.0792,-0.0556,0.132
0.4030,0.1106,-0.1274,0.0053,0.169
